|6.6.6
echon_3.tab                                                                                         
           2
P(bar)  
   1.0000000000000000     
   402.67785234899327     
         150
T(K)    
   275.00000000000000     
   13.693467336683417     
         200
           5
rho,kg/m3      vp,km/s        vs,km/s        cp,J/K/m3      alpha,1/K     
  3506.670       7.124094       3.422304       2769490.      0.2018357E-04
  3507.850       7.982433       4.625544       2769818.      0.2012925E-04
  3509.027       7.986720       4.626622       2770146.      0.2007522E-04
  3510.203       7.990999       4.627699       2770474.      0.2002149E-04
  3511.377       7.995270       4.628774       2770801.      0.1996806E-04
  3512.548       7.999533       4.629847       2771128.      0.1991492E-04
  3513.718       8.003787       4.630919       2771455.      0.1986209E-04
  3514.886       8.008034       4.631989       2771782.      0.1980954E-04
  3516.052       8.012273       4.633057       2772108.      0.1975729E-04
  3517.420       8.016394       4.634362       2772614.      0.1971219E-04
  3518.582       8.020616       4.635427       2772940.      0.1966055E-04
  3518.976       8.010954       4.636967       2772661.      0.1969456E-04
  3519.978       8.013018       4.638121       2772864.      0.1965635E-04
  3521.135       8.017212       4.639181       2773189.      0.1960516E-04
  3521.752       8.015104       4.641060       2773073.      0.1960982E-04
  3522.904       8.019275       4.642116       2773397.      0.1955907E-04
  3524.054       8.023439       4.643171       2773721.      0.1950859E-04
  3525.203       8.027594       4.644225       2774044.      0.1945838E-04
  3526.161       8.029233       4.645431       2774220.      0.1942098E-04
  3527.306       8.033372       4.646482       2774543.      0.1937128E-04
  3528.449       8.037504       4.647530       2774865.      0.1932185E-04
  3529.590       8.041628       4.648577       2775188.      0.1927269E-04
  3530.729       8.045745       4.649623       2775510.      0.1922378E-04
  3531.970       8.050710       4.651040       2775894.      0.1917869E-04
  3533.106       8.054811       4.652082       2776215.      0.1913029E-04
  3534.239       8.058904       4.653123       2776536.      0.1908215E-04
  3535.371       8.062991       4.654162       2776857.      0.1903425E-04
  3536.501       8.067070       4.655199       2777178.      0.1898661E-04
  3537.630       8.071142       4.656236       2777498.      0.1893920E-04
  3538.757       8.075207       4.657270       2777818.      0.1889205E-04
  3539.881       8.079265       4.658303       2778138.      0.1884513E-04
  3541.005       8.083316       4.659335       2778458.      0.1879845E-04
  3542.208       8.088122       4.660682       2778822.      0.1875491E-04
  3543.328       8.092158       4.661710       2779141.      0.1870870E-04
  3544.445       8.096187       4.662737       2779460.      0.1866273E-04
  3545.562       8.100209       4.663763       2779778.      0.1861699E-04
  3546.676       8.104224       4.664787       2780096.      0.1857148E-04
  3547.789       8.108232       4.665809       2780414.      0.1852620E-04
  3548.900       8.112234       4.666830       2780732.      0.1848115E-04
  3550.009       8.116229       4.667849       2781050.      0.1843632E-04
  3551.117       8.120217       4.668867       2781367.      0.1839171E-04
  3552.315       8.124991       4.670253       2781731.      0.1835049E-04
  3553.419       8.128965       4.671268       2782048.      0.1830632E-04
  3554.522       8.132932       4.672282       2782364.      0.1826236E-04
  3555.623       8.136893       4.673294       2782680.      0.1821863E-04
  3556.722       8.140847       4.674304       2782996.      0.1817510E-04
  3557.755       8.145185       4.675158       2783268.      0.1813011E-04
  3558.851       8.149125       4.676166       2783583.      0.1808699E-04
  3559.946       8.153060       4.677172       2783898.      0.1804409E-04
  3561.038       8.156988       4.678177       2784213.      0.1800138E-04
  3562.211       8.161105       4.679445       2784575.      0.1796149E-04
  3563.301       8.165020       4.680447       2784889.      0.1791920E-04
  3564.389       8.168928       4.681448       2785203.      0.1787712E-04
  3565.475       8.172831       4.682447       2785517.      0.1783523E-04
  3566.560       8.176726       4.683445       2785830.      0.1779355E-04
  3567.679       8.180928       4.684582       2786161.      0.1775337E-04
  3568.761       8.184811       4.685577       2786474.      0.1771207E-04
  3569.824       8.188752       4.686515       2786777.      0.1767053E-04
  3570.912       8.192705       4.687548       2787094.      0.1762997E-04
  3574.842       8.209548       4.696483       2788477.      0.1756548E-04
  3584.358       8.251867       4.720967       2791956.      0.1745710E-04
  3585.423       8.255700       4.721941       2792260.      0.1741741E-04
  3591.205       8.281570       4.735969       2794326.      0.1734056E-04
  3592.264       8.285383       4.736935       2794626.      0.1730149E-04
  3593.321       8.289189       4.737898       2794926.      0.1726260E-04
  3594.377       8.292990       4.738861       2795226.      0.1722389E-04
  3595.431       8.296785       4.739822       2795526.      0.1718536E-04
  3596.484       8.300574       4.740782       2795825.      0.1714700E-04
  3597.535       8.304357       4.741741       2796124.      0.1710882E-04
  3598.585       8.308134       4.742699       2796423.      0.1707082E-04
  3599.633       8.311906       4.743655       2796721.      0.1703298E-04
  3617.124       8.392270       4.790462       2803114.      0.1688414E-04
  3618.156       8.396001       4.791395       2803400.      0.1684752E-04
  3619.187       8.399726       4.792326       2803686.      0.1681106E-04
  3620.217       8.403446       4.793256       2803972.      0.1677476E-04
  3621.245       8.407160       4.794186       2804257.      0.1673862E-04
  3622.272       8.410868       4.795113       2804542.      0.1670265E-04
  3629.045       8.441969       4.811927       2806947.      0.1663153E-04
  3630.064       8.445655       4.812845       2807228.      0.1659616E-04
  3631.081       8.449336       4.813762       2807508.      0.1656095E-04
  3632.098       8.453011       4.814678       2807788.      0.1652589E-04
  3633.113       8.456681       4.815593       2808067.      0.1649098E-04
  3634.126       8.460346       4.816507       2808347.      0.1645623E-04
  3635.138       8.464005       4.817419       2808626.      0.1642163E-04
  3636.149       8.467659       4.818331       2808905.      0.1638718E-04
  3637.159       8.471308       4.819241       2809184.      0.1635288E-04
  3641.903       8.492861       4.830370       2810832.      0.1629742E-04
  3642.906       8.496492       4.831273       2811108.      0.1626359E-04
  3643.909       8.500117       4.832175       2811383.      0.1622991E-04
  3644.910       8.503738       4.833076       2811658.      0.1619638E-04
  3645.909       8.507353       4.833976       2811933.      0.1616298E-04
  3646.908       8.510963       4.834875       2812208.      0.1612973E-04
  3647.905       8.514568       4.835773       2812482.      0.1609662E-04
  3648.901       8.518167       4.836670       2812757.      0.1606365E-04
  3649.895       8.521762       4.837565       2813031.      0.1603083E-04
  3653.466       8.537659       4.845369       2814243.      0.1598402E-04
  3654.456       8.541239       4.846259       2814515.      0.1595158E-04
  3655.444       8.544813       4.847149       2814786.      0.1591929E-04
  3656.431       8.548382       4.848037       2815058.      0.1588712E-04
  3656.375       8.546864       4.845696       2814976.      0.1585812E-04
  3657.360       8.550426       4.846583       2815248.      0.1582618E-04
  3696.157       8.638474       4.952786       2828535.      0.1918445E-04
  3696.483       8.639227       4.952297       2828445.      0.1915937E-04
  3697.461       8.642562       4.953259       2828594.      0.1912878E-04
  3698.439       8.645892       4.954220       2828742.      0.1909830E-04
  3699.415       8.649219       4.955180       2828891.      0.1906792E-04
  3700.390       8.652542       4.956139       2829039.      0.1903764E-04
  3707.886       8.681284       4.970197       2831578.      0.1895381E-04
  3708.854       8.684591       4.971147       2831720.      0.1892397E-04
  3709.821       8.687893       4.972097       2831863.      0.1889424E-04
  3710.787       8.691191       4.973044       2832005.      0.1886460E-04
  3711.752       8.694485       4.973991       2832147.      0.1883506E-04
  3715.563       8.708773       4.980171       2833343.      0.1878313E-04
  3716.524       8.712056       4.981113       2833482.      0.1875389E-04
  3717.484       8.715334       4.982054       2833621.      0.1872474E-04
  3718.442       8.718609       4.982994       2833760.      0.1869569E-04
  3719.400       8.721879       4.983933       2833899.      0.1866674E-04
  3720.356       8.725146       4.984871       2834037.      0.1863788E-04
  3721.312       8.728409       4.985808       2834176.      0.1860912E-04
  3722.266       8.731667       4.986743       2834314.      0.1858045E-04
  3723.220       8.734922       4.987678       2834451.      0.1855187E-04
  3726.452       8.746996       4.992875       2835403.      0.1850660E-04
  3727.401       8.750240       4.993806       2835539.      0.1847829E-04
  3728.350       8.753481       4.994735       2835674.      0.1845007E-04
  3729.297       8.756717       4.995664       2835810.      0.1842194E-04
  3730.244       8.759950       4.996591       2835945.      0.1839390E-04
  3731.190       8.763179       4.997518       2836079.      0.1836595E-04
  3732.134       8.766404       4.998443       2836214.      0.1833809E-04
  3733.077       8.769625       4.999367       2836348.      0.1831033E-04
  3734.020       8.772843       5.000290       2836482.      0.1828265E-04
  3736.552       8.782345       5.004104       2837188.      0.1824451E-04
  3737.491       8.785553       5.005024       2837320.      0.1821706E-04
  3738.430       8.788757       5.005943       2837453.      0.1818970E-04
  3739.367       8.791958       5.006861       2837584.      0.1816243E-04
  3740.303       8.795154       5.007778       2837716.      0.1813524E-04
  3741.238       8.798347       5.008693       2837848.      0.1810814E-04
  3742.173       8.801537       5.009608       2837979.      0.1808113E-04
  3743.106       8.804722       5.010522       2838110.      0.1805420E-04
  3744.038       8.807904       5.011435       2838241.      0.1802735E-04
  3746.323       8.816530       5.014925       2838834.      0.1799289E-04
  3747.252       8.819703       5.015835       2838964.      0.1796626E-04
  3748.181       8.822872       5.016744       2839093.      0.1793971E-04
  3749.108       8.826037       5.017651       2839222.      0.1791325E-04
  3750.034       8.829199       5.018558       2839351.      0.1788687E-04
  3750.960       8.832358       5.019464       2839479.      0.1786057E-04
  3751.884       8.835513       5.020369       2839608.      0.1783435E-04
  3752.808       8.838664       5.021273       2839736.      0.1780821E-04
  3753.730       8.841811       5.022175       2839864.      0.1778216E-04
  3755.793       8.849679       5.025354       2840361.      0.1775101E-04
  3756.713       8.852818       5.026255       2840487.      0.1772515E-04
  3468.311       7.121931       3.493647       2828191.      0.1992818E-04
  3506.858       7.976622       4.622208       2859167.      0.2083299E-04
  3508.038       7.980920       4.623289       2859548.      0.2077720E-04
  3509.216       7.985210       4.624369       2859928.      0.2072172E-04
