|6.6.6
echonhy_1.tab                                                                                       
           2
P(bar)  
   1.0000000000000000     
   201.33557046979865     
         150
T(K)    
   273.00000000000000     
   10.050251256281408     
         200
           5
rho,kg/m3      vp,km/s        vs,km/s        cp,J/K/m3      alpha,1/K     
  3520.267       5.922550       2.432553       3956677.      0.3284168E-04
  3521.029       5.924423       2.432940       3956981.      0.3281107E-04
  3521.885       5.926016       2.433514       3957263.      0.3278201E-04
  3522.646       5.927882       2.433901       3957566.      0.3275152E-04
  3523.490       5.929501       2.434452       3957851.      0.3272239E-04
  3524.249       5.931361       2.434839       3958153.      0.3269202E-04
  3525.008       5.933217       2.435226       3958455.      0.3266171E-04
  3525.877       5.934752       2.435827       3958736.      0.3263315E-04
  3526.635       5.936601       2.436214       3959036.      0.3260297E-04
  3527.481       5.938194       2.436772       3959323.      0.3257418E-04
  3528.238       5.940037       2.437159       3959622.      0.3254411E-04
  3529.525       5.941648       2.438645       3960498.      0.3254736E-04
  3530.281       5.943492       2.439031       3960795.      0.3251736E-04
  3533.143       5.945989       2.443866       3964463.      0.3265387E-04
  3533.899       5.947862       2.444250       3964758.      0.3262377E-04
  3534.655       5.949731       2.444635       3965053.      0.3259374E-04
  3535.410       5.951598       2.445019       3965347.      0.3256377E-04
  3536.164       5.953461       2.445403       3965640.      0.3253386E-04
  3536.918       5.955320       2.445787       3965932.      0.3250401E-04
  3537.672       5.957177       2.446171       3966224.      0.3247422E-04
  3538.425       5.959030       2.446555       3966515.      0.3244449E-04
  3539.177       5.960880       2.446939       3966806.      0.3241483E-04
  3539.928       5.962727       2.447323       3967096.      0.3238522E-04
  3540.679       5.964570       2.447707       3967385.      0.3235568E-04
  3547.907       5.967489       2.461569       3976812.      0.3278070E-04
  3548.661       5.969405       2.461948       3977098.      0.3275071E-04
  3549.415       5.971318       2.462328       3977383.      0.3272078E-04
  3550.168       5.973227       2.462707       3977668.      0.3269091E-04
  3550.920       5.975132       2.463086       3977951.      0.3266111E-04
  3555.360       5.978902       2.471316       3982658.      0.3287841E-04
  3556.113       5.980839       2.471694       3982939.      0.3284844E-04
  3558.657       5.983904       2.475877       3986031.      0.3294908E-04
  3559.410       5.985853       2.476254       3986309.      0.3291910E-04
  3561.989       5.989114       2.480524       3989566.      0.3302305E-04
  3562.741       5.991074       2.480900       3989842.      0.3299305E-04
  3563.493       5.993030       2.481277       3990118.      0.3296311E-04
  3566.004       5.996432       2.485415       3993373.      0.3306311E-04
  3566.756       5.998398       2.485790       3993646.      0.3303317E-04
  3570.238       6.008364       2.491471       3992645.      0.3316486E-04
  3570.987       6.010346       2.491852       3992912.      0.3313495E-04
  3581.864       6.076185       2.508899       3952143.      0.3347909E-04
  3582.595       6.078228       2.509344       3952375.      0.3344956E-04
  3588.871       6.094881       2.518930       3948420.      0.3371278E-04
  3589.599       6.096960       2.519389       3948643.      0.3368320E-04
  3593.695       6.104935       2.525051       3948342.      0.3383018E-04
  3594.422       6.107030       2.525517       3948560.      0.3380059E-04
  3595.148       6.109119       2.525983       3948777.      0.3377107E-04
  3602.362       6.085974       2.532798       3974433.      0.3412793E-04
  3365.365       5.299121       1.944483       4376606.      0.3762263E-04
  3366.283       5.300987       1.944658       4377242.      0.3758212E-04
  3369.745       5.317601       1.964545       4365895.      0.3749783E-04
  3370.660       5.319457       1.964720       4366523.      0.3745760E-04
  3371.573       5.321312       1.964895       4367149.      0.3741746E-04
  3372.486       5.323166       1.965071       4367775.      0.3737742E-04
  3373.398       5.325018       1.965246       4368399.      0.3733746E-04
  3374.309       5.326869       1.965422       4369023.      0.3729760E-04
  3375.220       5.328718       1.965597       4369645.      0.3725782E-04
  3376.129       5.330566       1.965773       4370266.      0.3721814E-04
  3376.955       5.331348       1.965949       4370778.      0.3718124E-04
  3373.411       5.306458       1.927868       4395355.      0.3722458E-04
  3374.321       5.308312       1.928043       4395984.      0.3718500E-04
  3432.677       5.734295       2.333798       4002080.      0.3574754E-04
  3433.495       5.736085       2.334155       4002497.      0.3571210E-04
  3435.307       5.744112       2.346666       3987928.      0.3571129E-04
  3435.806       5.742394       2.347206       3987972.      0.3570347E-04
  3437.551       5.752087       2.353742       3981064.      0.3564604E-04
  3438.360       5.753864       2.354108       3981467.      0.3561097E-04
  3439.577       5.758860       2.357169       3978847.      0.3556735E-04
  3440.385       5.760637       2.357538       3979248.      0.3553245E-04
  3440.639       5.756239       2.358230       3979008.      0.3554652E-04
  3441.573       5.759043       2.359661       3978459.      0.3550562E-04
  3442.379       5.760813       2.360029       3978857.      0.3547090E-04
  3444.020       5.765848       2.365292       3975847.      0.3543456E-04
  3444.824       5.767633       2.365661       3976242.      0.3539993E-04
  3445.050       5.767902       2.363076       3978370.      0.3535977E-04
  3445.853       5.769670       2.363445       3978764.      0.3532532E-04
  3447.111       5.773017       2.366335       3977478.      0.3529292E-04
  3447.913       5.774793       2.366704       3977870.      0.3525858E-04
  3448.606       5.775218       2.367129       3978137.      0.3523373E-04
  3449.152       5.776513       2.366310       3979116.      0.3519578E-04
  3449.952       5.778278       2.366678       3979506.      0.3516165E-04
  3451.187       5.780594       2.368826       3979048.      0.3514065E-04
  3451.986       5.782369       2.369195       3979436.      0.3510661E-04
  3452.462       5.783881       2.368354       3980325.      0.3506110E-04
  3453.259       5.785644       2.368723       3980711.      0.3502723E-04
  3453.643       5.785277       2.366426       3983147.      0.3499770E-04
  3454.439       5.787032       2.366793       3983533.      0.3496397E-04
