|6.6.6
pyro_1.tab                                                                                          
           2
P(bar)  
   1.0000000000000000     
   201.33557046979865     
         150
T(K)    
   273.00000000000000     
   10.050251256281408     
         200
           5
rho,kg/m3      vp,km/s        vs,km/s        cp,J/K/m3      alpha,1/K     
  3456.157       8.554840       4.934285       2752730.      0.1840657E-04
  3456.658       8.556463       4.934751       2753075.      0.1838935E-04
  3457.159       8.558089       4.935218       2752762.      0.1837231E-04
  3457.659       8.559711       4.935684       2752962.      0.1835520E-04
  3458.159       8.561332       4.936150       2753129.      0.1833811E-04
  3458.658       8.562952       4.936615       2753460.      0.1832131E-04
  3459.158       8.564572       4.937080       2753424.      0.1830405E-04
  3459.657       8.566190       4.937545       2753626.      0.1828710E-04
  3460.156       8.567807       4.938010       2753643.      0.1827037E-04
  3460.654       8.569425       4.938474       2753630.      0.1825361E-04
  3461.152       8.571039       4.938938       2753899.      0.1823671E-04
  3461.650       8.572655       4.939401       2753712.      0.1821984E-04
  3462.148       8.574269       4.939864       2753696.      0.1820292E-04
  3462.645       8.575879       4.940327       2754100.      0.1818628E-04
  3463.143       8.577489       4.940790       2754388.      0.1816947E-04
  3463.640       8.579101       4.941252       2754130.      0.1815282E-04
  3464.183       8.580643       4.941606       2754414.      0.1813899E-04
  3464.679       8.582249       4.942067       2754710.      0.1812243E-04
  3465.175       8.583855       4.942529       2755033.      0.1810601E-04
  3465.671       8.585461       4.942990       2755051.      0.1808915E-04
  3466.167       8.587068       4.943450       2754671.      0.1807272E-04
  3466.662       8.588669       4.943911       2755172.      0.1805621E-04
  3467.157       8.590274       4.944371       2754798.      0.1803979E-04
  3467.652       8.591873       4.944830       2755543.      0.1802329E-04
  3468.146       8.593474       4.945290       2755348.      0.1800688E-04
  3468.641       8.595072       4.945749       2755667.      0.1799067E-04
  3469.134       8.596672       4.946208       2755497.      0.1797417E-04
  3469.628       8.598270       4.946666       2755612.      0.1795822E-04
  3470.122       8.599866       4.947124       2755781.      0.1794157E-04
  3470.615       8.601461       4.947582       2755861.      0.1792541E-04
  3471.108       8.603056       4.948039       2755823.      0.1790918E-04
  3471.600       8.604648       4.948497       2756166.      0.1789309E-04
  3472.093       8.606241       4.948953       2756279.      0.1787689E-04
  3472.598       8.607742       4.949281       2756450.      0.1786209E-04
  3473.090       8.609332       4.949737       2756549.      0.1784595E-04
  3473.581       8.610922       4.950193       2756483.      0.1783001E-04
  3474.072       8.612510       4.950649       2756542.      0.1781402E-04
  3474.563       8.614097       4.951104       2756861.      0.1779802E-04
  3475.054       8.615682       4.951559       2756986.      0.1778179E-04
  3475.545       8.617268       4.952014       2757023.      0.1776595E-04
  3476.035       8.618852       4.952468       2757082.      0.1775012E-04
  3476.525       8.620435       4.952922       2757253.      0.1773421E-04
  3477.015       8.622016       4.953376       2757491.      0.1771830E-04
  3477.504       8.623598       4.953830       2757416.      0.1770241E-04
  3477.993       8.625178       4.954283       2757430.      0.1768668E-04
  3478.482       8.626758       4.954736       2757491.      0.1767088E-04
  3478.971       8.628335       4.955188       2757682.      0.1765496E-04
  3479.460       8.629911       4.955641       2758067.      0.1763955E-04
  3322.969       7.382399       3.691443       2738950.      0.2017871E-04
  3323.527       8.165617       4.769269       2739171.      0.2016062E-04
  3357.929       8.228742       4.797247       2766991.      0.2106097E-04
  3358.481       8.230562       4.797792       2767515.      0.2103772E-04
  3359.034       8.232403       4.798346       2767646.      0.2101462E-04
  3359.585       8.234223       4.798889       2767742.      0.2099159E-04
  3360.138       8.236078       4.799449       2767826.      0.2096861E-04
  3360.688       8.237894       4.799992       2767900.      0.2094578E-04
  3371.171       8.275102       4.823026       2773300.      0.2086302E-04
  3371.714       8.276899       4.823554       2773523.      0.2084029E-04
  3372.257       8.278695       4.824082       2773650.      0.2081734E-04
  3372.801       8.280522       4.824623       2773668.      0.2079499E-04
  3373.343       8.282314       4.825150       2773967.      0.2077239E-04
  3375.029       8.287991       4.827889       2775516.      0.2074555E-04
  3375.570       8.289780       4.828414       2775569.      0.2072320E-04
  3382.312       8.312221       4.840767       2782412.      0.2067708E-04
  3382.850       8.313998       4.841286       2782577.      0.2065521E-04
  3382.485       8.313006       4.840116       2781719.      0.2063692E-04
  3383.022       8.314780       4.840636       2781884.      0.2061483E-04
  3391.534       8.343330       4.856089       2790965.      0.2056487E-04
  3392.068       8.345090       4.856602       2790988.      0.2054326E-04
  3392.601       8.346850       4.857114       2790909.      0.2052147E-04
  3393.134       8.348605       4.857626       2791243.      0.2050002E-04
  3393.667       8.350362       4.858138       2791176.      0.2047845E-04
  3394.200       8.352117       4.858649       2791256.      0.2045715E-04
  3394.732       8.353870       4.859159       2791359.      0.2043565E-04
  3395.264       8.355621       4.859670       2791615.      0.2041437E-04
  3395.796       8.357372       4.860180       2791677.      0.2039334E-04
  3396.327       8.359121       4.860689       2791870.      0.2037186E-04
  3396.858       8.360869       4.861198       2791947.      0.2035072E-04
  3397.388       8.362614       4.861707       2792105.      0.2032944E-04
  3397.919       8.364358       4.862215       2792545.      0.2030832E-04
  3398.449       8.366102       4.862723       2792559.      0.2028748E-04
  3398.978       8.367846       4.863231       2792579.      0.2026649E-04
  3399.508       8.369586       4.863738       2792768.      0.2024527E-04
  3411.423       8.408982       4.885402       2805369.      0.2019668E-04
  3411.948       8.410705       4.885899       2805397.      0.2017618E-04
  3412.472       8.412425       4.886397       2805397.      0.2015571E-04
  3412.996       8.414142       4.886894       2805745.      0.2013545E-04
  3413.520       8.415860       4.887390       2805803.      0.2011526E-04
  3414.044       8.417577       4.887886       2805740.      0.2009496E-04
  3414.567       8.419292       4.888382       2806036.      0.2007467E-04
  3415.089       8.421004       4.888878       2806298.      0.2005455E-04
  3415.612       8.422715       4.889373       2806474.      0.2003453E-04
  3416.134       8.424427       4.889868       2806558.      0.2001444E-04
  3416.656       8.426138       4.890362       2806523.      0.1999434E-04
  3422.591       8.445398       4.899740       2812912.      0.1996100E-04
  3423.110       8.447097       4.900230       2813052.      0.1994145E-04
  3423.629       8.448795       4.900719       2813065.      0.1992176E-04
  3424.148       8.450492       4.901208       2813077.      0.1990190E-04
  3424.666       8.452187       4.901697       2813456.      0.1988254E-04
  3425.184       8.453881       4.902185       2813519.      0.1986283E-04
  3425.702       8.455573       4.902673       2813689.      0.1984345E-04
  3426.219       8.457264       4.903161       2813830.      0.1982346E-04
  3426.736       8.458955       4.903648       2813868.      0.1980434E-04
  3427.253       8.460643       4.904135       2814088.      0.1978475E-04
  3427.769       8.462334       4.904621       2813816.      0.1976538E-04
  3428.286       8.464018       4.905107       2814334.      0.1974614E-04
  3428.801       8.465705       4.905593       2814283.      0.1972665E-04
  3429.317       8.467388       4.906078       2814615.      0.1970765E-04
  3429.832       8.469073       4.906563       2814437.      0.1968825E-04
  3430.347       8.470754       4.907048       2814654.      0.1966890E-04
  3430.862       8.472434       4.907532       2814932.      0.1964971E-04
  3431.376       8.474114       4.908016       2815064.      0.1963079E-04
  3435.553       8.486882       4.913164       2819343.      0.1960364E-04
