|6.6.6
echon_4.tab                                                                                         
           2
P(bar)  
   1.0000000000000000     
   201.33557046979865     
         150
T(K)    
   273.00000000000000     
   10.050251256281408     
         200
           5
rho,kg/m3      vp,km/s        vs,km/s        cp,J/K/m3      alpha,1/K     
  3563.443       8.165742       4.680850       2770583.      0.1782126E-04
  3563.987       8.167695       4.681350       2771032.      0.1780024E-04
  3564.530       8.169650       4.681850       2770896.      0.1777943E-04
  3565.074       8.171600       4.682350       2771256.      0.1775873E-04
  3565.617       8.173549       4.682850       2771456.      0.1773765E-04
  3566.159       8.175498       4.683349       2771575.      0.1771690E-04
  3566.701       8.177444       4.683847       2771717.      0.1769622E-04
  3567.278       8.179709       4.684494       2771883.      0.1767692E-04
  3567.819       8.181652       4.684992       2772062.      0.1765618E-04
  3568.360       8.183594       4.685490       2772061.      0.1763539E-04
  3568.901       8.185535       4.685987       2772168.      0.1761530E-04
  3569.424       8.187522       4.686424       2772262.      0.1759436E-04
  3569.964       8.189459       4.686921       2772300.      0.1757385E-04
  3570.512       8.191469       4.687450       2772805.      0.1755366E-04
  3571.051       8.193403       4.687946       2772990.      0.1753345E-04
  3571.589       8.195337       4.688442       2772883.      0.1751312E-04
  3575.029       8.210474       4.697015       2774248.      0.1746878E-04
  3575.565       8.212400       4.697508       2774567.      0.1744874E-04
  3584.545       8.252827       4.721522       2777643.      0.1736049E-04
  3585.078       8.254744       4.722009       2777881.      0.1734087E-04
  3585.610       8.256659       4.722496       2778006.      0.1732110E-04
  3586.142       8.258572       4.722982       2778219.      0.1730119E-04
  3591.372       8.282425       4.736461       2779958.      0.1724445E-04
  3591.901       8.284331       4.736944       2780142.      0.1722517E-04
  3592.430       8.286236       4.737426       2780380.      0.1720568E-04
  3592.959       8.288140       4.737908       2780393.      0.1718652E-04
  3593.487       8.290042       4.738390       2780467.      0.1716702E-04
  3594.015       8.291942       4.738871       2780891.      0.1714793E-04
  3594.543       8.293842       4.739352       2780841.      0.1712843E-04
  3595.070       8.295739       4.739833       2781052.      0.1710941E-04
  3595.597       8.297636       4.740313       2781139.      0.1709023E-04
  3596.123       8.299530       4.740793       2781375.      0.1707101E-04
  3596.649       8.301423       4.741273       2781463.      0.1705205E-04
  3597.175       8.303316       4.741752       2781501.      0.1703319E-04
  3597.700       8.305205       4.742231       2781749.      0.1701398E-04
  3598.225       8.307095       4.742710       2781734.      0.1699528E-04
  3598.750       8.308981       4.743189       2782136.      0.1697632E-04
  3599.274       8.310867       4.743667       2782159.      0.1695740E-04
  3599.798       8.312752       4.744145       2782436.      0.1693855E-04
  3600.322       8.314635       4.744622       2782487.      0.1692008E-04
  3617.266       8.393112       4.790949       2788584.      0.1678993E-04
  3617.783       8.394976       4.791416       2788874.      0.1677162E-04
  3618.299       8.396841       4.791882       2788895.      0.1675343E-04
  3618.814       8.398704       4.792347       2789065.      0.1673526E-04
  3619.329       8.400566       4.792813       2789130.      0.1671710E-04
  3619.844       8.402426       4.793278       2789087.      0.1669910E-04
  3620.359       8.404283       4.793743       2789615.      0.1668108E-04
  3620.873       8.406140       4.794207       2789795.      0.1666309E-04
  3466.993       7.085114       3.476243       2791367.      0.1981137E-04
  3467.590       7.892131       4.597032       2791668.      0.1978901E-04
  3505.521       7.953533       4.624753       2821862.      0.2072016E-04
  3506.110       7.955674       4.625294       2822214.      0.2069208E-04
  3506.699       7.957814       4.625834       2822345.      0.2066447E-04
  3507.288       7.959950       4.626373       2822648.      0.2063699E-04
  3507.876       7.962086       4.626912       2822714.      0.2060910E-04
  3508.463       7.964220       4.627451       2822931.      0.2058148E-04
  3509.050       7.966351       4.627989       2823131.      0.2055413E-04
  3509.637       7.968479       4.628527       2823409.      0.2052683E-04
  3510.223       7.970607       4.629064       2823368.      0.2049943E-04
  3510.808       7.972732       4.629601       2823695.      0.2047217E-04
  3511.393       7.974856       4.630138       2823646.      0.2044524E-04
  3511.978       7.976977       4.630674       2823972.      0.2041805E-04
  3512.562       7.979096       4.631209       2824079.      0.2039084E-04
  3513.145       7.981213       4.631745       2824310.      0.2036389E-04
  3513.729       7.983328       4.632279       2824492.      0.2033716E-04
  3514.523       7.985220       4.632990       2824789.      0.2031789E-04
  3515.105       7.987330       4.633524       2825131.      0.2029129E-04
  3515.687       7.989439       4.634057       2825249.      0.2026456E-04
  3516.268       7.991546       4.634591       2825301.      0.2023804E-04
  3516.849       7.993651       4.635123       2825501.      0.2021171E-04
  3517.429       7.995753       4.635656       2825746.      0.2018524E-04
  3518.009       7.997854       4.636188       2826055.      0.2015891E-04
  3518.589       7.999953       4.636719       2826151.      0.2013264E-04
  3519.168       8.002051       4.637251       2826152.      0.2010644E-04
  3519.746       8.004145       4.637781       2826529.      0.2008045E-04
  3520.324       8.006239       4.638312       2826589.      0.2005424E-04
  3521.016       8.009242       4.639229       2826833.      0.2003213E-04
  3521.593       8.011331       4.639759       2826996.      0.2000630E-04
  3522.169       8.013417       4.640288       2827303.      0.1998049E-04
  3522.745       8.015502       4.640816       2827325.      0.1995466E-04
  3523.321       8.017585       4.641345       2827456.      0.1992903E-04
  3523.896       8.019665       4.641872       2827894.      0.1990334E-04
  3524.470       8.021745       4.642400       2827813.      0.1987778E-04
  3525.044       8.023822       4.642927       2828102.      0.1985227E-04
  3525.618       8.025896       4.643453       2828464.      0.1982676E-04
  3526.191       8.027971       4.643979       2828356.      0.1980148E-04
  3526.764       8.030041       4.644505       2828782.      0.1977630E-04
  3527.336       8.032110       4.645030       2829005.      0.1975104E-04
  3527.908       8.034179       4.645555       2829048.      0.1972589E-04
  3528.479       8.036245       4.646080       2829106.      0.1970079E-04
  3529.050       8.038308       4.646604       2829441.      0.1967564E-04
  3529.621       8.040371       4.647128       2829429.      0.1965079E-04
  3530.191       8.042431       4.647651       2829715.      0.1962592E-04
  3530.760       8.044490       4.648175       2829952.      0.1960113E-04
  3531.432       8.047403       4.649065       2830193.      0.1957977E-04
  3532.001       8.049457       4.649587       2830367.      0.1955528E-04
  3532.569       8.051510       4.650109       2830462.      0.1953067E-04
  3533.137       8.053560       4.650630       2830628.      0.1950589E-04
  3533.704       8.055608       4.651151       2830824.      0.1948155E-04
  3534.271       8.057655       4.651672       2831157.      0.1945724E-04
  3534.837       8.059700       4.652192       2831219.      0.1943252E-04
  3535.403       8.061743       4.652712       2831338.      0.1940816E-04
  3535.968       8.063785       4.653231       2831636.      0.1938414E-04
  3536.533       8.065824       4.653750       2831779.      0.1936005E-04
  3537.098       8.067863       4.654269       2831827.      0.1933591E-04
  3537.662       8.069898       4.654787       2832146.      0.1931162E-04
  3538.226       8.071933       4.655305       2832308.      0.1928751E-04
  3538.789       8.073966       4.655822       2832516.      0.1926392E-04
  3539.352       8.075997       4.656339       2832606.      0.1923988E-04
  3539.914       8.078026       4.656856       2832836.      0.1921615E-04
  3540.476       8.080053       4.657372       2833031.      0.1919254E-04
  3541.038       8.082079       4.657888       2833124.      0.1916861E-04
  3541.689       8.084903       4.658758       2833428.      0.1914813E-04
  3542.249       8.086925       4.659273       2833537.      0.1912444E-04
  3542.809       8.088944       4.659787       2833785.      0.1910115E-04
  3543.369       8.090963       4.660302       2833939.      0.1907765E-04
  3543.928       8.092979       4.660816       2834142.      0.1905413E-04
  3544.487       8.094994       4.661329       2834182.      0.1903105E-04
  3545.046       8.097006       4.661842       2834470.      0.1900782E-04
  3545.604       8.099017       4.662355       2834657.      0.1898443E-04
  3546.161       8.101027       4.662868       2834658.      0.1896128E-04
  3546.719       8.103034       4.663380       2835057.      0.1893811E-04
  3547.275       8.105040       4.663892       2835125.      0.1891497E-04
  3547.832       8.107045       4.664403       2835369.      0.1889231E-04
  3548.388       8.109047       4.664914       2835550.      0.1886941E-04
  3548.943       8.111049       4.665425       2835534.      0.1884646E-04
  3549.498       8.113047       4.665935       2835812.      0.1882360E-04
  3550.053       8.115043       4.666445       2836210.      0.1880071E-04
  3550.607       8.117041       4.666954       2836106.      0.1877819E-04
  3551.161       8.119035       4.667464       2836422.      0.1875529E-04
  3551.796       8.121789       4.668309       2836475.      0.1873570E-04
  3552.349       8.123778       4.668818       2836807.      0.1871318E-04
  3552.902       8.125767       4.669326       2836872.      0.1869081E-04
  3553.454       8.127753       4.669833       2837222.      0.1866839E-04
  3554.005       8.129740       4.670341       2837295.      0.1864612E-04
  3554.557       8.131723       4.670848       2837387.      0.1862349E-04
  3555.108       8.133705       4.671354       2837634.      0.1860135E-04
  3555.658       8.135687       4.671860       2837627.      0.1857887E-04
  3556.208       8.137665       4.672366       2837877.      0.1855702E-04
  3556.685       8.140117       4.672766       2838143.      0.1853275E-04
  3557.234       8.142094       4.673271       2838078.      0.1851065E-04
  3557.783       8.144067       4.673775       2838388.      0.1848873E-04
  3558.331       8.146038       4.674280       2838736.      0.1846670E-04
  3558.879       8.148009       4.674784       2838793.      0.1844477E-04
  3559.426       8.149979       4.675287       2838786.      0.1842309E-04
  3559.974       8.151945       4.675791       2839112.      0.1840099E-04
  3560.520       8.153911       4.676294       2839236.      0.1837969E-04
  3561.067       8.155874       4.676796       2839433.      0.1835777E-04
  3561.612       8.157838       4.677299       2839443.      0.1833624E-04
  3562.158       8.159798       4.677801       2839704.      0.1831463E-04
  3562.703       8.161757       4.678302       2840022.      0.1829330E-04
  3563.248       8.163713       4.678803       2840357.      0.1827146E-04
  3563.792       8.165671       4.679304       2840257.      0.1825023E-04
  3564.336       8.167625       4.679805       2840527.      0.1822871E-04
  3564.919       8.169877       4.680436       2840717.      0.1820899E-04
  3565.462       8.171829       4.680936       2840757.      0.1818779E-04
  3566.005       8.173778       4.681435       2840961.      0.1816651E-04
  3566.584       8.176019       4.682066       2841134.      0.1814691E-04
  3567.126       8.177964       4.682565       2841305.      0.1812561E-04
  3567.668       8.179909       4.683063       2841548.      0.1810469E-04
  3568.209       8.181852       4.683561       2841572.      0.1808351E-04
  3568.750       8.183794       4.684059       2841658.      0.1806266E-04
  3569.290       8.185733       4.684557       2842071.      0.1804170E-04
  3569.830       8.187672       4.685054       2842084.      0.1802081E-04
  3570.370       8.189608       4.685550       2842374.      0.1799997E-04
  3570.909       8.191544       4.686047       2842488.      0.1797925E-04
  3571.392       8.193477       4.686337       2842572.      0.1795694E-04
  3571.930       8.195408       4.686833       2842926.      0.1793636E-04
  3572.659       8.197838       4.687826       2843284.      0.1791764E-04
  3573.197       8.199768       4.688321       2843250.      0.1789697E-04
  3584.978       8.252830       4.720158       2847972.      0.1778584E-04
  3585.510       8.254746       4.720645       2848392.      0.1776584E-04
  3581.370       8.235514       4.708095       2846414.      0.1778209E-04
  3581.904       8.237431       4.708584       2846658.      0.1776219E-04
  3591.801       8.282419       4.735087       2850846.      0.1766861E-04
  3592.330       8.284325       4.735569       2850872.      0.1764867E-04
  3592.859       8.286231       4.736052       2850980.      0.1762902E-04
  3593.387       8.288134       4.736534       2851204.      0.1760912E-04
  3593.916       8.290037       4.737016       2851096.      0.1758949E-04
  3594.443       8.291937       4.737497       2851343.      0.1756992E-04
  3594.971       8.293837       4.737978       2851393.      0.1755034E-04
  3595.498       8.295733       4.738459       2851848.      0.1753064E-04
  3596.025       8.297630       4.738940       2851587.      0.1751124E-04
  3596.551       8.299524       4.739420       2852014.      0.1749177E-04
  3597.077       8.301417       4.739900       2852187.      0.1747195E-04
  3597.603       8.303309       4.740379       2852286.      0.1745267E-04
  3598.128       8.305198       4.740859       2852579.      0.1743358E-04
  3598.653       8.307088       4.741337       2852689.      0.1741410E-04
  3599.177       8.308975       4.741816       2852762.      0.1739501E-04
  3599.702       8.310861       4.742294       2852933.      0.1737550E-04
  3616.648       8.389339       4.788602       2859675.      0.1724513E-04
  3617.165       8.391207       4.789069       2859782.      0.1722654E-04
  3617.681       8.393073       4.789536       2860070.      0.1720777E-04
  3618.197       8.394938       4.790002       2860402.      0.1718912E-04
  3618.713       8.396804       4.790469       2860224.      0.1717057E-04
  3619.228       8.398665       4.790934       2860444.      0.1715206E-04
  3619.743       8.400527       4.791400       2860648.      0.1713366E-04
  3620.258       8.402386       4.791865       2860894.      0.1711511E-04
  3448.364       7.088417       3.512022       2838522.      0.1981094E-04
  3448.973       7.862286       4.582068       2838791.      0.1978935E-04
  3504.673       7.948931       4.622085       2884678.      0.2121715E-04
  3505.264       7.951078       4.622626       2884623.      0.2118855E-04
  3505.816       7.953344       4.623118       2884724.      0.2115886E-04
  3506.405       7.955485       4.623659       2885114.      0.2113076E-04
  3506.994       7.957625       4.624199       2885282.      0.2110234E-04
  3507.582       7.959763       4.624738       2885470.      0.2107403E-04
  3508.317       7.962036       4.625509       2885869.      0.2105099E-04
  3508.904       7.964169       4.626048       2886054.      0.2102308E-04
  3509.491       7.966299       4.626586       2886336.      0.2099501E-04
  3510.077       7.968429       4.627124       2886477.      0.2096712E-04
  3510.663       7.970556       4.627662       2886726.      0.2093937E-04
  3511.248       7.972681       4.628199       2886857.      0.2091189E-04
  3511.833       7.974805       4.628736       2887079.      0.2088421E-04
  3512.418       7.976926       4.629272       2887206.      0.2085640E-04
  3513.002       7.979045       4.629808       2887398.      0.2082916E-04
  3513.424       7.981521       4.630049       2887466.      0.2079664E-04
  3514.007       7.983636       4.630584       2887823.      0.2076920E-04
  3514.589       7.985751       4.631119       2887692.      0.2074215E-04
  3515.171       7.987861       4.631653       2888084.      0.2071496E-04
  3515.752       7.989971       4.632187       2888213.      0.2068779E-04
  3516.333       7.992079       4.632720       2888364.      0.2066092E-04
  3516.913       7.994183       4.633253       2888646.      0.2063383E-04
  3517.493       7.996288       4.633786       2888733.      0.2060687E-04
  3518.073       7.998388       4.634318       2889120.      0.2058012E-04
  3518.652       8.000489       4.634850       2888999.      0.2055330E-04
  3519.230       8.002585       4.635381       2889433.      0.2052645E-04
  3519.951       8.005384       4.636170       2889740.      0.2050552E-04
  3520.528       8.007477       4.636701       2889899.      0.2047884E-04
  3521.105       8.009567       4.637231       2890219.      0.2045251E-04
  3521.682       8.011656       4.637760       2890428.      0.2042607E-04
  3522.258       8.013744       4.638289       2890551.      0.2039984E-04
  3522.833       8.015828       4.638818       2890784.      0.2037363E-04
  3523.408       8.017913       4.639346       2890758.      0.2034740E-04
  3523.983       8.019993       4.639874       2891270.      0.2032138E-04
  3524.557       8.022073       4.640402       2891293.      0.2029535E-04
  3525.131       8.024149       4.640929       2891627.      0.2026944E-04
  3525.704       8.026225       4.641456       2891783.      0.2024347E-04
  3526.277       8.028300       4.641982       2891950.      0.2021753E-04
  3526.849       8.030372       4.642508       2892092.      0.2019183E-04
