|6.6.6
epyro_2.tab                                                                                         
           2
P(bar)  
   1.0000000000000000     
   201.33557046979865     
         150
T(K)    
   273.00000000000000     
   10.050251256281408     
         200
           5
rho,kg/m3      vp,km/s        vs,km/s        cp,J/K/m3      alpha,1/K     
  3468.136       8.602259       4.965449       2750555.      0.1835479E-04
  3468.632       8.603828       4.965914       2750842.      0.1833811E-04
  3469.128       8.605400       4.966378       2750753.      0.1832187E-04
  3469.623       8.606968       4.966843       2751143.      0.1830561E-04
  3470.119       8.608537       4.967307       2751035.      0.1828913E-04
  3470.614       8.610104       4.967770       2751128.      0.1827285E-04
  3471.109       8.611671       4.968234       2751172.      0.1825684E-04
  3471.603       8.613237       4.968697       2751219.      0.1824065E-04
  3472.098       8.614800       4.969160       2751513.      0.1822435E-04
  3472.592       8.616364       4.969622       2751497.      0.1820813E-04
  3473.085       8.617926       4.970084       2751779.      0.1819207E-04
  3473.579       8.619488       4.970546       2751800.      0.1817612E-04
  3474.072       8.621049       4.971007       2751781.      0.1815981E-04
  3474.565       8.622607       4.971468       2752092.      0.1814377E-04
  3475.058       8.624165       4.971929       2752238.      0.1812782E-04
  3475.551       8.625725       4.972390       2751995.      0.1811186E-04
  3479.997       8.634964       4.971241       2757483.      0.1809692E-04
  3480.488       8.636508       4.971700       2758197.      0.1808114E-04
  3480.978       8.638056       4.972158       2758178.      0.1806528E-04
  3481.468       8.639601       4.972616       2758270.      0.1804960E-04
  3481.957       8.641147       4.973074       2758129.      0.1803386E-04
  3482.447       8.642690       4.973531       2758343.      0.1801819E-04
  3482.936       8.644235       4.973988       2758113.      0.1800261E-04
  3483.425       8.645774       4.974445       2758616.      0.1798676E-04
  3490.243       8.658445       4.969813       2767907.      0.1796420E-04
  3490.729       8.659971       4.970267       2768222.      0.1794872E-04
  3491.214       8.661497       4.970721       2768153.      0.1793334E-04
  3491.699       8.663022       4.971175       2768250.      0.1791794E-04
  3492.184       8.664547       4.971629       2768313.      0.1790293E-04
  3492.669       8.666069       4.972082       2768470.      0.1788768E-04
  3493.153       8.667593       4.972535       2768358.      0.1787237E-04
  3493.638       8.669113       4.972988       2768780.      0.1785733E-04
  3494.122       8.670634       4.973440       2768650.      0.1784204E-04
  3494.605       8.672153       4.973892       2768927.      0.1782681E-04
  3495.089       8.673672       4.974344       2768935.      0.1781177E-04
  3495.572       8.675189       4.974795       2769076.      0.1779666E-04
  3496.055       8.676706       4.975246       2769122.      0.1778170E-04
  3496.538       8.678222       4.975697       2769272.      0.1776668E-04
  3497.020       8.679738       4.976148       2769170.      0.1775131E-04
  3497.502       8.681252       4.976598       2769399.      0.1773672E-04
  3497.984       8.682764       4.977048       2769536.      0.1772146E-04
  3498.466       8.684276       4.977498       2769719.      0.1770669E-04
  3503.885       8.694037       4.974323       2777024.      0.1770234E-04
  3504.364       8.695537       4.974770       2777120.      0.1768767E-04
  3504.843       8.697037       4.975218       2776881.      0.1767314E-04
  3505.322       8.698535       4.975665       2777242.      0.1765859E-04
  3505.801       8.700033       4.976112       2777073.      0.1764382E-04
  3507.483       8.703865       4.975718       2779240.      0.1762619E-04
  3351.093       7.494297       3.778355       2747151.      0.2022623E-04
  3351.634       8.262880       4.831718       2747327.      0.2020793E-04
  3378.291       8.315630       4.855142       2768808.      0.2088333E-04
  3378.831       8.317378       4.855671       2769161.      0.2086149E-04
  3379.370       8.319125       4.856199       2769102.      0.2083935E-04
  3379.909       8.320872       4.856728       2769161.      0.2081730E-04
  3380.454       8.322780       4.857332       2769433.      0.2079551E-04
  3380.992       8.324522       4.857859       2769582.      0.2077347E-04
  3381.549       8.325927       4.858212       2769657.      0.2075328E-04
  3382.087       8.327667       4.858739       2769880.      0.2073161E-04
  3382.624       8.329407       4.859265       2769947.      0.2070998E-04
  3383.151       8.331573       4.860003       2770104.      0.2068682E-04
  3383.688       8.333309       4.860528       2770221.      0.2066519E-04
  3384.927       8.336947       4.862177       2771184.      0.2064239E-04
  3385.463       8.338680       4.862701       2771374.      0.2062065E-04
  3391.912       8.360107       4.874554       2778071.      0.2057643E-04
  3392.445       8.361830       4.875073       2777942.      0.2055516E-04
  3392.028       8.360543       4.873770       2776861.      0.2053753E-04
  3392.560       8.362261       4.874288       2777209.      0.2051613E-04
  3400.555       8.388905       4.888789       2785748.      0.2046718E-04
  3401.084       8.390612       4.889301       2785620.      0.2044637E-04
  3401.613       8.392317       4.889813       2785643.      0.2042567E-04
  3402.142       8.394020       4.890324       2785981.      0.2040520E-04
  3402.671       8.395723       4.890835       2785938.      0.2038446E-04
  3403.199       8.397424       4.891345       2785980.      0.2036391E-04
  3403.727       8.399123       4.891855       2786256.      0.2034358E-04
  3404.254       8.400820       4.892364       2786594.      0.2032295E-04
  3404.782       8.402517       4.892874       2786591.      0.2030258E-04
  3405.308       8.404214       4.893382       2786561.      0.2028216E-04
  3405.835       8.405908       4.893891       2786735.      0.2026163E-04
  3406.361       8.407601       4.894399       2786970.      0.2024136E-04
  3406.887       8.409293       4.894906       2787137.      0.2022115E-04
  3407.413       8.410984       4.895414       2787312.      0.2020104E-04
  3407.938       8.412675       4.895921       2787227.      0.2018090E-04
  3408.464       8.414363       4.896427       2787381.      0.2016050E-04
  3419.609       8.451007       4.916698       2799097.      0.2011338E-04
  3420.129       8.452676       4.917196       2799214.      0.2009383E-04
  3420.650       8.454345       4.917693       2799238.      0.2007426E-04
  3421.170       8.456010       4.918190       2799694.      0.2005491E-04
  3421.690       8.457677       4.918686       2799740.      0.2003533E-04
  3422.209       8.459342       4.919182       2799839.      0.2001581E-04
  3422.729       8.461005       4.919678       2799925.      0.1999636E-04
  3423.248       8.462668       4.920173       2800117.      0.1997694E-04
  3423.766       8.464330       4.920668       2800021.      0.1995770E-04
  3424.285       8.465989       4.921163       2800442.      0.1993825E-04
  3424.803       8.467648       4.921657       2800503.      0.1991908E-04
  3430.196       8.484952       4.930103       2806043.      0.1988639E-04
  3430.711       8.486601       4.930593       2806247.      0.1986727E-04
  3431.227       8.488249       4.931083       2806271.      0.1984837E-04
  3431.742       8.489896       4.931572       2806436.      0.1982942E-04
  3432.257       8.491542       4.932061       2806403.      0.1981047E-04
  3432.771       8.493188       4.932549       2806288.      0.1979154E-04
  3433.286       8.494830       4.933037       2806582.      0.1977306E-04
  3433.799       8.496471       4.933525       2806996.      0.1975427E-04
  3434.313       8.498114       4.934013       2806685.      0.1973534E-04
  3434.827       8.499753       4.934500       2807049.      0.1971653E-04
  3435.340       8.501393       4.934986       2807103.      0.1969808E-04
  3435.852       8.503029       4.935473       2807414.      0.1967932E-04
  3436.365       8.504667       4.935959       2807247.      0.1966068E-04
  3436.877       8.506301       4.936444       2807650.      0.1964234E-04
  3437.389       8.507937       4.936930       2807550.      0.1962365E-04
  3437.901       8.509571       4.937414       2807673.      0.1960526E-04
  3438.412       8.511202       4.937899       2807877.      0.1958685E-04
  3438.923       8.512833       4.938383       2808026.      0.1956824E-04
  3442.748       8.524395       4.943057       2812044.      0.1954187E-04
  3443.257       8.526020       4.943539       2811828.      0.1952376E-04
  3443.766       8.527640       4.944020       2812436.      0.1950563E-04
  3444.275       8.529261       4.944500       2812548.      0.1948730E-04
  3444.783       8.530881       4.944980       2812702.      0.1946923E-04
  3445.291       8.532500       4.945460       2812877.      0.1945122E-04
  3445.799       8.534117       4.945940       2812984.      0.1943294E-04
  3446.307       8.535737       4.946419       2812778.      0.1941502E-04
  3446.814       8.537352       4.946898       2813005.      0.1939708E-04
  3447.321       8.538966       4.947377       2813271.      0.1937915E-04
  3447.828       8.540580       4.947855       2813390.      0.1936126E-04
  3448.334       8.542193       4.948333       2813579.      0.1934335E-04
  3448.840       8.543804       4.948811       2813756.      0.1932558E-04
  3449.346       8.545416       4.949288       2813438.      0.1930765E-04
  3449.852       8.547025       4.949765       2813711.      0.1928990E-04
  3450.357       8.548634       4.950241       2813801.      0.1927238E-04
  3450.862       8.550241       4.950717       2813848.      0.1925422E-04
  3451.367       8.551846       4.951193       2814288.      0.1923661E-04
  3454.628       8.560761       4.953594       2817717.      0.1921382E-04
  3455.131       8.562359       4.954067       2817987.      0.1919632E-04
  3455.634       8.563959       4.954541       2817897.      0.1917878E-04
  3456.137       8.565555       4.955014       2818315.      0.1916148E-04
  3456.639       8.567154       4.955486       2818007.      0.1914393E-04
  3457.141       8.568748       4.955959       2818247.      0.1912651E-04
  3457.643       8.570342       4.956431       2818433.      0.1910925E-04
  3458.145       8.571935       4.956902       2818589.      0.1909212E-04
  3458.646       8.573529       4.957374       2818536.      0.1907484E-04
  3459.147       8.575117       4.957845       2818918.      0.1905742E-04
  3459.648       8.576708       4.958315       2819056.      0.1904034E-04
  3460.148       8.578298       4.958786       2818950.      0.1902316E-04
  3460.648       8.579885       4.959256       2819279.      0.1900604E-04
  3461.148       8.581472       4.959725       2819300.      0.1898862E-04
  3461.648       8.583059       4.960195       2819447.      0.1897178E-04
  3462.147       8.584644       4.960664       2819551.      0.1895470E-04
  3462.646       8.586226       4.961132       2819756.      0.1893754E-04
  3463.145       8.587811       4.961601       2819722.      0.1892070E-04
  3466.493       8.595755       4.962172       2823702.      0.1890065E-04
  3466.990       8.597331       4.962638       2823771.      0.1888353E-04
  3467.487       8.598904       4.963104       2824042.      0.1886687E-04
