|6.6.6
chon_1.tab                                                                                          
           2
P(bar)  
   1.0000000000000000     
   201.33557046979865     
         150
T(K)    
   273.00000000000000     
   10.050251256281408     
         200
           5
rho,kg/m3      vp,km/s        vs,km/s        cp,J/K/m3      alpha,1/K     
  3560.787       8.142959       4.628963       2764027.      0.1826473E-04
  3561.325       8.144786       4.629473       2764187.      0.1824494E-04
  3561.844       8.146887       4.630206       2764446.      0.1822701E-04
  3562.382       8.148711       4.630715       2764502.      0.1820720E-04
  3562.926       8.150591       4.631243       2764702.      0.1818820E-04
  3563.463       8.152412       4.631752       2764876.      0.1816844E-04
  3563.999       8.154231       4.632260       2765016.      0.1814877E-04
  3567.594       8.169677       4.641319       2766351.      0.1810215E-04
  3568.129       8.171491       4.641825       2766365.      0.1808275E-04
  3585.982       8.250021       4.690182       2772881.      0.1790852E-04
  3586.509       8.251818       4.690676       2773018.      0.1788966E-04
  3587.037       8.253613       4.691170       2773150.      0.1787084E-04
  3587.564       8.255408       4.691663       2773171.      0.1785200E-04
  3580.577       8.224284       4.671733       2770872.      0.1790415E-04
  3581.106       8.226082       4.672230       2770935.      0.1788537E-04
  3581.635       8.227878       4.672727       2770943.      0.1786659E-04
  3582.163       8.229672       4.673224       2771152.      0.1784789E-04
  3582.691       8.231464       4.673720       2771362.      0.1782918E-04
  3583.219       8.233257       4.674216       2771405.      0.1781043E-04
  3583.746       8.235046       4.674711       2771583.      0.1779163E-04
  3584.273       8.236836       4.675207       2771633.      0.1777310E-04
  3584.799       8.238623       4.675702       2771852.      0.1775450E-04
  3585.326       8.240410       4.676196       2771861.      0.1773597E-04
  3585.852       8.242195       4.676690       2772019.      0.1771755E-04
  3612.079       8.358957       4.748000       2781671.      0.1749733E-04
  3612.595       8.360716       4.748477       2781886.      0.1747979E-04
  3613.111       8.362474       4.748954       2781949.      0.1746202E-04
  3613.626       8.364231       4.749430       2782137.      0.1744448E-04
  3614.141       8.365986       4.749907       2782292.      0.1742676E-04
  3614.655       8.367742       4.750382       2782140.      0.1740935E-04
  3615.170       8.369494       4.750858       2782376.      0.1739173E-04
  3615.683       8.371245       4.751333       2782766.      0.1737433E-04
  3616.197       8.372996       4.751808       2782706.      0.1735691E-04
  3616.710       8.374745       4.752283       2782828.      0.1733957E-04
  3617.223       8.376492       4.752757       2783011.      0.1732212E-04
  3617.736       8.378239       4.753231       2783078.      0.1730489E-04
  3618.248       8.379983       4.753705       2783464.      0.1728758E-04
  3618.761       8.381728       4.754179       2783551.      0.1727036E-04
  3619.272       8.383472       4.754652       2783481.      0.1725315E-04
  3619.784       8.385213       4.755125       2783644.      0.1723612E-04
  3636.261       8.459025       4.798854       2789420.      0.1709404E-04
  3636.766       8.460752       4.799316       2789733.      0.1707762E-04
  3637.270       8.462477       4.799778       2789807.      0.1706103E-04
  3637.774       8.464201       4.800239       2789809.      0.1704430E-04
  3638.278       8.465924       4.800701       2789769.      0.1702791E-04
  3638.781       8.467644       4.801162       2790088.      0.1701098E-04
  3639.284       8.469365       4.801622       2790233.      0.1699470E-04
  3639.787       8.471083       4.802083       2790428.      0.1697826E-04
  3411.149       6.902119       3.315671       2766600.      0.2161518E-04
  3411.767       7.669620       4.400694       2766925.      0.2159001E-04
  3412.475       7.671789       4.401413       2767107.      0.2156464E-04
  3413.109       7.673843       4.402048       2767317.      0.2153829E-04
  3413.815       7.676273       4.402879       2767643.      0.2151032E-04
  3414.448       7.678323       4.403512       2767805.      0.2148408E-04
  3415.172       7.680666       4.404319       2768085.      0.2145762E-04
  3415.804       7.682712       4.404951       2768268.      0.2143141E-04
  3507.355       7.957903       4.576385       2816483.      0.2085180E-04
  3507.930       7.959880       4.576932       2816818.      0.2082654E-04
  3508.505       7.961859       4.577478       2816793.      0.2080119E-04
  3509.079       7.963834       4.578024       2816970.      0.2077623E-04
  3509.653       7.965807       4.578570       2817263.      0.2075096E-04
  3510.227       7.967780       4.579115       2817309.      0.2072599E-04
  3510.800       7.969749       4.579659       2817552.      0.2070107E-04
  3511.373       7.971717       4.580203       2817803.      0.2067609E-04
  3511.945       7.973685       4.580747       2817855.      0.2065125E-04
  3512.586       7.974822       4.580657       2817854.      0.2062337E-04
  3513.157       7.976787       4.581200       2817995.      0.2059850E-04
  3513.728       7.978750       4.581743       2818215.      0.2057403E-04
  3514.299       7.980711       4.582286       2818455.      0.2054948E-04
  3514.870       7.982670       4.582828       2818657.      0.2052478E-04
  3515.440       7.984628       4.583369       2818818.      0.2050026E-04
  3516.009       7.986585       4.583910       2819060.      0.2047570E-04
  3516.578       7.988540       4.584451       2819043.      0.2045147E-04
  3517.147       7.990492       4.584992       2819337.      0.2042708E-04
  3517.715       7.992444       4.585532       2819496.      0.2040295E-04
  3518.283       7.994393       4.586071       2819636.      0.2037850E-04
  3518.960       7.997000       4.586787       2819774.      0.2036001E-04
  3519.527       7.998946       4.587326       2819871.      0.2033604E-04
  3520.093       8.000889       4.587865       2820322.      0.2031218E-04
  3520.659       8.002831       4.588403       2820389.      0.2028790E-04
  3521.225       8.004772       4.588940       2820484.      0.2026420E-04
  3521.790       8.006710       4.589477       2820751.      0.2024041E-04
  3522.355       8.008649       4.590014       2820811.      0.2021654E-04
  3522.920       8.010583       4.590551       2821011.      0.2019292E-04
  3523.484       8.012517       4.591087       2821268.      0.2016927E-04
  3524.047       8.014450       4.591622       2821448.      0.2014580E-04
  3524.611       8.016380       4.592158       2821612.      0.2012206E-04
  3525.174       8.018309       4.592693       2821781.      0.2009864E-04
  3525.736       8.020236       4.593227       2821976.      0.2007507E-04
  3526.298       8.022162       4.593761       2822067.      0.2005179E-04
  3526.860       8.024086       4.594295       2822441.      0.2002856E-04
  3527.421       8.026009       4.594828       2822348.      0.2000509E-04
  3527.982       8.027930       4.595361       2822502.      0.1998186E-04
  3528.543       8.029849       4.595894       2822733.      0.1995871E-04
  3529.190       8.032488       4.596669       2822944.      0.1994008E-04
  3529.750       8.034404       4.597201       2823078.      0.1991695E-04
  3530.309       8.036318       4.597732       2823179.      0.1989413E-04
  3530.868       8.038229       4.598263       2823517.      0.1987108E-04
  3531.426       8.040141       4.598794       2823539.      0.1984804E-04
  3531.984       8.042050       4.599324       2823696.      0.1982527E-04
  3532.542       8.043957       4.599854       2823933.      0.1980257E-04
  3533.099       8.045863       4.600383       2824143.      0.1977998E-04
  3533.656       8.047768       4.600912       2824122.      0.1975702E-04
  3534.212       8.049669       4.601441       2824555.      0.1973445E-04
  3534.769       8.051572       4.601969       2824537.      0.1971191E-04
  3535.324       8.053472       4.602497       2824659.      0.1968958E-04
  3535.880       8.055369       4.603025       2824849.      0.1966694E-04
  3536.435       8.057265       4.603552       2825155.      0.1964462E-04
  3536.989       8.059161       4.604079       2825222.      0.1962243E-04
  3537.543       8.061055       4.604605       2825257.      0.1960006E-04
  3538.097       8.062946       4.605131       2825678.      0.1957770E-04
  3538.651       8.064836       4.605657       2825859.      0.1955553E-04
  3539.283       8.067378       4.606400       2826172.      0.1953754E-04
  3539.836       8.069266       4.606924       2826103.      0.1951553E-04
  3540.388       8.071151       4.607449       2826324.      0.1949353E-04
  3540.940       8.073034       4.607973       2826500.      0.1947146E-04
  3541.491       8.074917       4.608497       2826672.      0.1944951E-04
  3542.042       8.076796       4.609020       2826961.      0.1942767E-04
  3542.593       8.078676       4.609543       2827018.      0.1940588E-04
  3543.143       8.080554       4.610066       2827127.      0.1938398E-04
  3543.693       8.082430       4.610588       2827227.      0.1936227E-04
  3544.243       8.084304       4.611110       2827578.      0.1934051E-04
  3544.792       8.086177       4.611631       2827788.      0.1931889E-04
  3545.341       8.088049       4.612152       2827900.      0.1929719E-04
  3545.889       8.089919       4.612673       2828055.      0.1927587E-04
  3546.437       8.091788       4.613194       2828163.      0.1925413E-04
  3546.985       8.093655       4.613714       2828345.      0.1923300E-04
  3547.532       8.095520       4.614233       2828532.      0.1921142E-04
  3548.079       8.097385       4.614753       2828744.      0.1919012E-04
  3548.626       8.099247       4.615272       2828956.      0.1916886E-04
  3549.246       8.101730       4.616001       2828991.      0.1915172E-04
  3549.791       8.103588       4.616519       2829239.      0.1913030E-04
  3550.337       8.105447       4.617037       2829334.      0.1910930E-04
  3550.882       8.107304       4.617555       2829419.      0.1908838E-04
  3551.427       8.109157       4.618072       2829746.      0.1906711E-04
  3551.971       8.111011       4.618589       2829873.      0.1904604E-04
  3552.515       8.112863       4.619105       2830098.      0.1902505E-04
  3553.059       8.114714       4.619621       2830193.      0.1900422E-04
  3553.602       8.116564       4.620137       2830289.      0.1898338E-04
  3554.122       8.119261       4.621287       2830512.      0.1897222E-04
  3554.664       8.121105       4.621802       2830833.      0.1895141E-04
  3555.206       8.122949       4.622316       2830831.      0.1893063E-04
  3555.748       8.124790       4.622830       2831100.      0.1891012E-04
  3556.289       8.126630       4.623344       2831262.      0.1888939E-04
  3556.830       8.128468       4.623858       2831464.      0.1886879E-04
  3557.371       8.130306       4.624371       2831386.      0.1884817E-04
  3557.911       8.132141       4.624883       2831747.      0.1882783E-04
  3558.451       8.133976       4.625396       2831892.      0.1880740E-04
  3558.991       8.135809       4.625908       2832072.      0.1878683E-04
  3559.530       8.137640       4.626419       2832190.      0.1876650E-04
  3560.069       8.139470       4.626930       2832487.      0.1874623E-04
  3560.607       8.141299       4.627441       2832597.      0.1872584E-04
  3561.145       8.143126       4.627952       2832777.      0.1870567E-04
  3561.683       8.144953       4.628462       2832868.      0.1868570E-04
  3562.253       8.147005       4.629050       2833065.      0.1866744E-04
  3562.790       8.148828       4.629560       2833252.      0.1864735E-04
  3563.327       8.150650       4.630069       2833384.      0.1862737E-04
  3563.851       8.152810       4.630850       2833571.      0.1861278E-04
  3564.387       8.154628       4.631358       2833655.      0.1859295E-04
