P_MPa,T_K,r_m,phase,rho_kgm3,Cp_JkgK,alpha_pK,g_ms2,phi_frac,sigma_Sm,kTherm_WmK,VP_kms,VS_kms,QS,KS_GPa,GS_GPa,Ppore_MPa,rhoMatrix_kgm3,rhoPore_kgm3,MLayer_kg,VLayer_m3,Htidal_Wm3,eta_Pas
0,110,1560800,1,932.71866,949.39073,3.8612049e-05,1.3148247,0,1e-08,2.3007519,4.1915858,2.192281,23392.752,10.410319,4.4827353,0,932.71866,0,2.8337057e+18,3.0381141e+15,0,4.7096859e+14
0.12171549,110.48673,1560700.8,1,932.71197,952.94915,3.9023964e-05,1.3149143,0,1e-08,5.5391266,4.190863,2.1915143,22321.567,10.408772,4.4795684,0,932.71197,0,2.8331523e+18,3.0375425e+15,0,4.7096859e+14
0.24343097,110.97562,1560601.5,1,932.70501,956.51531,3.943898e-05,1.3150039,0,1e-08,5.5147248,4.1901339,2.1907445,21303.831,10.407191,4.4763886,0,932.70501,0,2.8325989e+18,3.0369719e+15,0,4.7096859e+14
0.36514646,111.46667,1560502.3,1,932.69778,960.08928,3.9857091e-05,1.3150935,0,1e-08,5.4904306,4.1893986,2.1899716,20336.679,10.405575,4.4731957,0,932.69778,0,2.8320456e+18,3.0364023e+15,0,4.7096859e+14
0.48686194,111.95989,1560403,1,932.69028,963.67114,4.0278291e-05,1.3151832,0,1e-08,5.4662433,4.1886571,2.1891955,19417.407,10.403923,4.4699899,0,932.69028,0,2.8314924e+18,3.0358335e+15,0,4.7096859e+14
0.60857743,112.45529,1560303.8,1,932.68251,967.26096,4.0702576e-05,1.3152729,0,1e-08,5.4421626,4.1879092,2.1884162,18543.468,10.402236,4.466771,0,932.68251,0,2.8309393e+18,3.0352658e+15,0,4.7096859e+14
0.73029291,112.95289,1560204.6,1,932.67446,970.85882,4.1129938e-05,1.3153625,0,1e-08,5.418188,4.187155,2.1876338,17712.455,10.400512,4.463539,0,932.67446,0,2.8303863e+18,3.0346991e+15,0,4.7096859e+14
0.8520084,113.45269,1560105.4,1,932.66612,974.46479,4.156037e-05,1.3154523,0,1e-08,5.394319,4.1863943,2.1868482,16922.102,10.398752,4.4602938,0,932.66612,0,2.8298334e+18,3.0341333e+15,0,4.7096859e+14
0.97372388,113.9547,1560006.2,1,932.65751,978.07895,4.1993863e-05,1.315542,0,1e-08,5.3705551,4.1856272,2.1860594,16170.266,10.396956,4.4570354,0,932.65751,0,2.8292805e+18,3.0335686e+15,0,4.7096859e+14
1.0954394,114.45893,1559907,1,932.6486,981.70138,4.243041e-05,1.3156317,0,1e-08,5.346896,4.1848535,2.1852673,15454.928,10.395122,4.4537638,0,932.6486,0,2.8287277e+18,3.0330048e+15,0,4.7096859e+14
