|6.6.6
CV3hy1wt_678_1.tab                                                                                  
           2
P(bar)  
   1.0000000000000000     
   350.87468671679198     
         400
T(K)    
   275.00000000000000     
   9.1137123745819402     
         300
           9
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s        cp,J/K/m3      alpha,1/K      Ks,bar         Gs,bar        
  60000.57       429.9331       3786.181       8.357309       4.601946       3365781.      0.2486320E-04   1575332.       801833.8    
  60351.45       429.9331       3787.035       8.360079       4.603089       3366145.      0.2484060E-04   1576909.       802413.2    
  60702.32       429.9331       3787.889       8.362845       4.604230       3366509.      0.2481802E-04   1578487.       802991.9    
  61053.20       429.9331       3788.741       8.365606       4.605364       3366873.      0.2479548E-04   1580064.       803568.5    
  61404.07       429.9331       3789.593       8.368366       4.606499       3367236.      0.2477299E-04   1581641.       804145.3    
  61754.94       429.9331       3790.444       8.371126       4.607636       3367598.      0.2475054E-04   1583219.       804722.9    
  62105.82       429.9331       3791.296       8.373889       4.608779       3367962.      0.2472815E-04   1584796.       805303.3    
  62456.69       429.9331       3792.146       8.376644       4.609912       3368324.      0.2470578E-04   1586373.       805880.1    
  62807.57       429.9331       3792.996       8.379398       4.611045       3368687.      0.2468344E-04   1587950.       806456.9    
  63158.44       429.9331       3796.234       7.466146       3.251207       3406997.      0.2498587E-04   1581114.       401275.2    
  63509.32       429.9331       3800.932       7.421738       3.216417       3468268.      0.2548283E-04   1569344.       393219.3    
  63860.19       429.9331       3805.445       7.379933       3.183194       3526346.      0.2595016E-04   1558449.       385595.2    
  64211.07       429.9331       3809.671       7.341920       3.152518       3579646.      0.2637461E-04   1548732.       378619.2    
  64561.94       429.9331       3816.751       7.269821       3.094608       3677602.      0.2717551E-04   1529811.       365514.8    
  64912.82       429.9331       3820.418       7.239220       3.068895       3721539.      0.2751578E-04   1522391.       359811.4    
  65263.69       429.9331       3863.302       6.741776       2.641633       4379526.      0.3303485E-04   1396477.       269589.9    
  65614.57       429.9331       3864.311       6.744507       2.642328       4380170.      0.3299524E-04   1398076.       269802.2    
  65965.44       429.9331       3865.320       6.747237       2.643022       4380814.      0.3295573E-04   1399675.       270014.5    
  66316.32       429.9331       3806.061       7.463735       3.238646       3443908.      0.2506226E-04   1587974.       399211.2    
  66667.19       429.9331       3806.916       7.466336       3.239418       3444286.      0.2503911E-04   1589555.       399491.2    
  67018.07       429.9331       3807.770       7.468934       3.240190       3444663.      0.2501601E-04   1591135.       399771.3    
  67368.94       429.9331       3808.623       7.471531       3.240961       3445041.      0.2499295E-04   1592716.       400051.3    
  67719.81       429.9331       3809.476       7.474126       3.241732       3445418.      0.2496993E-04   1594296.       400331.3    
  68070.69       429.9331       3834.753       7.190035       3.016555       3821627.      0.2805877E-04   1517174.       348947.3    
  68421.56       429.9331       3835.664       7.192685       3.017294       3822102.      0.2802941E-04   1518769.       349201.3    
  68772.44       429.9331       3836.575       7.195334       3.018033       3822577.      0.2800012E-04   1520363.       349455.2    
  69123.31       429.9331       3837.485       7.197980       3.018771       3823051.      0.2797090E-04   1521957.       349709.2    
  69474.19       429.9331       3838.394       7.200625       3.019509       3823525.      0.2794174E-04   1523551.       349963.1    
  69825.06       429.9331       3839.303       7.203268       3.020247       3823999.      0.2791264E-04   1525145.       350217.1    
  70175.94       429.9331       3855.412       7.031338       2.874803       4055367.      0.2976901E-04   1481265.       318630.2    
  70526.81       429.9331       3856.356       7.034006       2.875521       4055906.      0.2973623E-04   1482862.       318867.4    
  70877.69       429.9331       3857.299       7.036672       2.876238       4056444.      0.2970352E-04   1484460.       319104.6    
  71228.56       429.9331       3858.241       7.039336       2.876956       4056982.      0.2967090E-04   1486057.       319341.8    
  71579.44       429.9331       3859.183       7.041999       2.877673       4057519.      0.2963834E-04   1487654.       319579.0    
  71930.31       429.9331       3860.124       7.044659       2.878390       4058056.      0.2960587E-04   1489251.       319816.2    
  72281.19       429.9331       3861.064       7.047317       2.879106       4058593.      0.2957347E-04   1490847.       320053.3    
  72632.06       429.9331       3871.913       6.938384       2.782500       4207420.      0.3073274E-04   1464283.       299775.4    
  72982.93       429.9331       3872.874       6.941054       2.783204       4208000.      0.3069812E-04   1465880.       300001.5    
  73333.81       429.9331       3873.835       6.943723       2.783907       4208580.      0.3066358E-04   1467477.       300227.7    
  73684.68       429.9331       3874.796       6.946390       2.784610       4209159.      0.3062913E-04   1469074.       300453.8    
  74035.56       429.9331       3875.755       6.949055       2.785313       4209738.      0.3059476E-04   1470671.       300679.9    
  74386.43       429.9331       3876.714       6.951719       2.786016       4210317.      0.3056047E-04   1472268.       300906.0    
  74737.31       429.9331       3877.671       6.954380       2.786718       4210895.      0.3052626E-04   1473864.       301132.1    
  75088.18       429.9331       3885.409       6.881980       2.720061       4311527.      0.3128342E-04   1456899.       287470.9    
  75439.06       429.9331       3886.381       6.884647       2.720754       4312135.      0.3124783E-04   1458495.       287689.4    
  75789.93       429.9331       3887.352       6.887313       2.721447       4312742.      0.3121232E-04   1460091.       287907.9    
  76140.81       429.9331       3888.322       6.889976       2.722140       4313350.      0.3117689E-04   1461687.       288126.5    
  76491.68       429.9331       3889.291       6.892638       2.722833       4313956.      0.3114156E-04   1463282.       288345.0    
  76842.56       429.9331       3890.260       6.895298       2.723525       4314563.      0.3110630E-04   1464878.       288563.4    
  77193.43       429.9331       3891.228       6.897956       2.724217       4315169.      0.3107114E-04   1466473.       288781.9    
  77544.31       429.9331       3897.129       6.846890       2.675682       4387577.      0.3159504E-04   1454962.       279006.2    
  77895.18       429.9331       3898.106       6.849551       2.676368       4388204.      0.3155896E-04   1456557.       279219.2    
  78246.06       429.9331       3899.082       6.852210       2.677053       4388832.      0.3152296E-04   1458151.       279432.2    
  78596.93       429.9331       3900.058       6.854867       2.677738       4389459.      0.3148706E-04   1459746.       279645.2    
  78947.80       429.9331       3901.033       6.857522       2.678423       4390085.      0.3145123E-04   1461340.       279858.1    
  79298.68       429.9331       3902.007       6.860176       2.679107       4390711.      0.3141550E-04   1462935.       280071.1    
  79649.55       429.9331       3906.721       6.822646       2.642386       4445154.      0.3179327E-04   1454820.       272775.3    
  80000.43       429.9331       3907.702       6.825301       2.643066       4445796.      0.3175692E-04   1456413.       272984.1    
  80351.30       429.9331       3908.681       6.827953       2.643745       4446437.      0.3172065E-04   1458007.       273192.9    
  80702.18       429.9331       3909.660       6.830603       2.644424       4447079.      0.3168447E-04   1459600.       273401.7    
  81053.05       429.9331       3910.638       6.833252       2.645103       4447719.      0.3164838E-04   1461193.       273610.5    
  81403.93       429.9331       3911.616       6.835899       2.645781       4448360.      0.3161238E-04   1462787.       273819.3    
  81754.80       429.9331       3912.592       6.838543       2.646459       4449000.      0.3157646E-04   1464380.       274028.0    
  82105.68       429.9331       3916.487       6.810316       2.618027       4491088.      0.3185415E-04   1458564.       268438.5    
  82456.55       429.9331       3917.468       6.812961       2.618701       4491740.      0.3181781E-04   1460157.       268644.1    
  82807.43       429.9331       3918.448       6.815603       2.619375       4492392.      0.3178156E-04   1461749.       268849.6    
  83158.30       429.9331       3919.428       6.818244       2.620048       4493043.      0.3174540E-04   1463341.       269055.1    
  83509.18       429.9331       3920.406       6.820883       2.620722       4493694.      0.3170932E-04   1464933.       269260.6    
  83860.05       429.9331       3921.384       6.823520       2.621395       4494345.      0.3167333E-04   1466525.       269466.1    
  84210.92       429.9331       3922.361       6.826155       2.622067       4494995.      0.3163743E-04   1468117.       269671.6    
  84561.80       429.9331       3925.723       6.803953       2.599077       4529077.      0.3185067E-04   1463778.       265190.4    
  84912.67       429.9331       3926.703       6.806588       2.599746       4529737.      0.3181447E-04   1465369.       265393.3    
  85263.55       429.9331       3927.683       6.809220       2.600416       4530397.      0.3177836E-04   1466960.       265596.2    
  85614.42       429.9331       3936.864       6.726829       2.518491       4645486.      0.3258922E-04   1448497.       249707.2    
  85965.30       429.9331       3937.858       6.729467       2.519150       4646180.      0.3255170E-04   1450086.       249901.2    
  86316.17       429.9331       3938.852       6.732103       2.519810       4646874.      0.3251428E-04   1451675.       250095.1    
  86667.05       429.9331       3939.846       6.734737       2.520469       4647568.      0.3247694E-04   1453264.       250289.1    
  87017.92       429.9331       3940.838       6.737369       2.521128       4648261.      0.3243970E-04   1454853.       250483.0    
  87368.80       429.9331       3941.830       6.739999       2.521786       4648954.      0.3240254E-04   1456442.       250677.0    
  87719.67       429.9331       3942.820       6.742628       2.522445       4649647.      0.3236547E-04   1458031.       250870.9    
  88070.55       429.9331       3944.539       6.737793       2.515729       4660396.      0.3240190E-04   1457875.       249645.7    
  88421.42       429.9331       3945.530       6.740419       2.516386       4661091.      0.3236488E-04   1459464.       249838.8    
  88772.30       429.9331       3946.519       6.743042       2.517043       4661785.      0.3232795E-04   1461052.       250031.9    
  89123.17       429.9331       3947.508       6.745664       2.517699       4662479.      0.3229110E-04   1462640.       250225.0    
  89474.05       429.9331       3948.496       6.748284       2.518355       4663173.      0.3225434E-04   1464228.       250418.1    
  89824.92       429.9331       3949.484       6.750902       2.519011       4663866.      0.3221767E-04   1465816.       250611.2    
  90175.79       429.9331       3950.470       6.753518       2.519666       4664559.      0.3218109E-04   1467404.       250804.2    
  90526.67       429.9331       3952.099       6.749651       2.513895       4674014.      0.3220763E-04   1467476.       249759.5    
  90877.54       429.9331       3953.085       6.752264       2.514549       4674710.      0.3217111E-04   1469064.       249951.8    
  91228.42       429.9331       3954.071       6.754875       2.515203       4675404.      0.3213468E-04   1470651.       250144.2    
  91579.29       429.9331       3955.055       6.757484       2.515856       4676098.      0.3209833E-04   1472238.       250336.5    
  91930.17       429.9331       3956.039       6.760092       2.516510       4676791.      0.3206207E-04   1473825.       250528.8    
  92281.04       429.9331       3957.021       6.762698       2.517163       4677484.      0.3202589E-04   1475412.       250721.2    
  92631.92       429.9331       3958.003       6.765302       2.517816       4678177.      0.3198980E-04   1476999.       250913.5    
  92982.79       429.9331       3959.555       6.762220       2.512807       4686567.      0.3200837E-04   1477258.       250014.1    
  93333.67       429.9331       3960.536       6.764821       2.513458       4687262.      0.3197235E-04   1478845.       250205.8    
  93684.54       429.9331       3961.517       6.767420       2.514110       4687956.      0.3193642E-04   1480431.       250397.4    
  94035.42       429.9331       3962.497       6.770017       2.514761       4688650.      0.3190057E-04   1482018.       250589.1    
  94386.29       429.9331       3963.476       6.772613       2.515411       4689342.      0.3186481E-04   1483604.       250780.8    
  94737.17       429.9331       3964.454       6.775206       2.516062       4690035.      0.3182913E-04   1485190.       250972.4    
  95088.04       429.9331       3963.989       6.791956       2.530809       4671488.      0.3165910E-04   1490090.       253893.3    
  95438.91       429.9331       3964.963       6.794544       2.531460       4672175.      0.3162383E-04   1491676.       254086.4    
  95789.79       429.9331       3965.936       6.797131       2.532112       4672860.      0.3158864E-04   1493262.       254279.5    
  96140.66       429.9331       3966.909       6.799716       2.532762       4673546.      0.3155354E-04   1494848.       254472.6    
  96491.54       429.9331       3968.245       6.798754       2.529893       4679060.      0.3155204E-04   1495602.       253981.9    
  96842.41       429.9331       3969.217       6.801335       2.530543       4679747.      0.3151704E-04   1497187.       254174.6    
  97193.29       429.9331       3970.188       6.803915       2.531192       4680432.      0.3148212E-04   1498773.       254367.3    
  97544.16       429.9331       3971.481       6.803352       2.528711       4685395.      0.3147678E-04   1499622.       253951.6    
  97895.04       429.9331       3972.451       6.805929       2.529360       4686083.      0.3144197E-04   1501207.       254143.9    
  98245.91       429.9331       3973.420       6.808504       2.530008       4686767.      0.3140724E-04   1502792.       254336.3    
  98596.79       429.9331       3974.388       6.811077       2.530657       4687454.      0.3137259E-04   1504378.       254528.6    
  98947.66       429.9331       3975.679       6.810529       2.528190       4692393.      0.3136713E-04   1505231.       254115.2    
  99298.54       429.9331       3976.646       6.813098       2.528837       4693078.      0.3133258E-04   1506816.       254307.2    
  99649.41       429.9331       3977.612       6.815667       2.529484       4693764.      0.3129812E-04   1508400.       254499.1    
  100000.3       429.9331       3977.857       6.825132       2.537021       4685024.      0.3119979E-04   1511604.       256033.8    
  100351.2       429.9331       3978.912       6.826822       2.536796       4686901.      0.3117369E-04   1512983.       256056.4    
  100702.0       429.9331       3980.040       6.827807       2.535869       4689738.      0.3115417E-04   1514197.       255941.8    
  101052.9       429.9331       3981.076       6.829671       2.535820       4691372.      0.3112653E-04   1515618.       255998.4    
  101403.8       429.9331       3982.129       6.831363       2.535600       4693241.      0.3110051E-04   1516999.       256021.6    
  101754.7       429.9331       3983.163       6.833227       2.535552       4694871.      0.3107296E-04   1518420.       256078.4    
  102105.5       429.9331       4000.727       6.658131       2.407820       4898801.      0.3193107E-04   1464289.       231946.1    
  102456.4       429.9331       4001.832       6.660017       2.407746       4900564.      0.3190009E-04   1465718.       231995.8    
  102807.3       429.9331       4003.028       6.661035       2.406763       4903515.      0.3187711E-04   1466951.       231875.7    
  103158.2       429.9331       4006.279       6.642714       2.385449       4932971.      0.3203069E-04   1463834.       227971.9    
  103509.0       429.9331       4007.312       6.645293       2.386099       4933788.      0.3199323E-04   1465419.       228155.1    
  103859.9       429.9331       4008.344       6.647870       2.386749       4934605.      0.3195586E-04   1467004.       228338.2    
  104210.8       429.9331       4009.376       6.650444       2.387399       4935420.      0.3191858E-04   1468588.       228521.4    
  104561.7       429.9331       4007.635       6.678899       2.415247       4900696.      0.3164670E-04   1476004.       233782.2    
  104912.5       429.9331       4008.660       6.681468       2.415899       4901498.      0.3161000E-04   1477589.       233968.1    
  105263.4       429.9331       4009.683       6.684034       2.416550       4902302.      0.3157339E-04   1479173.       234154.1    
  105614.3       429.9331       4010.706       6.686599       2.417201       4903106.      0.3153687E-04   1480758.       234340.0    
  105965.2       429.9331       4012.367       6.683231       2.411640       4912063.      0.3155393E-04   1481001.       233359.7    
  106316.0       429.9331       4013.390       6.685792       2.412290       4912867.      0.3151749E-04   1482584.       233544.9    
  106666.9       429.9331       4014.411       6.688351       2.412940       4913671.      0.3148115E-04   1484168.       233730.2    
  107017.8       429.9331       4015.432       6.690909       2.413589       4914476.      0.3144488E-04   1485752.       233915.4    
  107368.7       429.9331       4016.452       6.693464       2.414238       4915278.      0.3140871E-04   1487335.       234100.6    
  107719.5       429.9331       4017.471       6.696017       2.414886       4916079.      0.3137262E-04   1488918.       234285.8    
  108070.4       429.9331       4018.489       6.698569       2.415534       4916882.      0.3133662E-04   1490501.       234471.0    
  108421.3       429.9331       4020.088       6.695771       2.410564       4925053.      0.3134838E-04   1490873.       233600.1    
  108772.2       429.9331       4021.106       6.698319       2.411211       4925855.      0.3131247E-04   1492456.       233784.7    
  109123.0       429.9331       4022.122       6.700865       2.411858       4926658.      0.3127664E-04   1494038.       233969.2    
  109473.9       429.9331       4023.138       6.703409       2.412505       4927461.      0.3124090E-04   1495620.       234153.8    
  109824.8       429.9331       4024.153       6.705951       2.413151       4928263.      0.3120525E-04   1497202.       234338.3    
  110175.7       429.9331       4025.167       6.708492       2.413797       4929064.      0.3116967E-04   1498783.       234522.9    
  110526.5       429.9331       4026.712       6.706212       2.409373       4936523.      0.3117680E-04   1499273.       233753.9    
  110877.4       429.9331       4027.725       6.708749       2.410018       4937327.      0.3114133E-04   1500854.       233937.9    
  111228.3       429.9331       4028.738       6.711284       2.410663       4938127.      0.3110593E-04   1502435.       234121.8    
  111579.2       429.9331       4029.749       6.713817       2.411307       4938929.      0.3107062E-04   1504015.       234305.8    
  111930.0       429.9331       4030.760       6.716348       2.411951       4939730.      0.3103540E-04   1505596.       234489.7    
  112280.9       429.9331       4031.769       6.718877       2.412594       4940530.      0.3100025E-04   1507176.       234673.7    
  112631.8       429.9331       4032.778       6.721404       2.413238       4941329.      0.3096519E-04   1508756.       234857.6    
  112982.6       429.9331       4034.258       6.719686       2.409398       4948001.      0.3096729E-04   1509374.       234196.6    
  113333.5       429.9331       4035.266       6.722210       2.410040       4948801.      0.3093233E-04   1510954.       234380.0    
  113684.4       429.9331       4036.274       6.724732       2.410682       4949603.      0.3089746E-04   1512533.       234563.5    
  114035.3       429.9331       4037.280       6.727252       2.411323       4950401.      0.3086266E-04   1514112.       234746.9    
  114386.1       429.9331       4038.286       6.729770       2.411965       4951200.      0.3082795E-04   1515691.       234930.3    
  114737.0       429.9331       4039.290       6.732287       2.412606       4951999.      0.3079331E-04   1517270.       235113.6    
  115087.9       429.9331       4040.294       6.734801       2.413247       4952796.      0.3075876E-04   1518849.       235297.0    
  115438.8       429.9331       4041.716       6.733587       2.409941       4958761.      0.3075650E-04   1519582.       234735.5    
  115789.6       429.9331       4042.719       6.736098       2.410581       4959559.      0.3072206E-04   1521160.       234918.4    
  116140.5       429.9331       4043.721       6.738608       2.411221       4960358.      0.3068769E-04   1522738.       235101.4    
  116491.4       429.9331       4044.722       6.741115       2.411860       4961157.      0.3065341E-04   1524316.       235284.3    
  116842.3       429.9331       4045.723       6.743621       2.412499       4961953.      0.3061920E-04   1525894.       235467.2    
  117193.1       429.9331       4046.722       6.746124       2.413138       4962750.      0.3058507E-04   1527471.       235650.1    
  117544.0       429.9331       4047.721       6.748626       2.413776       4963547.      0.3055102E-04   1529048.       235832.9    
  117894.9       429.9331       4049.121       6.747589       2.410659       4969258.      0.3054731E-04   1529822.       235305.7    
  118245.8       429.9331       4050.118       6.750087       2.411297       4970052.      0.3051337E-04   1531399.       235488.2    
  118596.6       429.9331       4051.115       6.752584       2.411934       4970850.      0.3047950E-04   1532975.       235670.6    
  118947.5       429.9331       4052.112       6.755079       2.412571       4971645.      0.3044571E-04   1534552.       235853.1    
  119298.4       429.9331       4053.107       6.757572       2.413207       4972442.      0.3041200E-04   1536128.       236035.5    
  119649.3       429.9331       4054.102       6.760063       2.413843       4973236.      0.3037837E-04   1537704.       236217.9    
  120000.1       429.9331       4055.446       6.759499       2.411236       4978281.      0.3037074E-04   1538585.       235785.9    
  120351.0       429.9331       4056.439       6.761987       2.411871       4979077.      0.3033722E-04   1540161.       235968.0    
  120701.9       429.9331       4057.432       6.764473       2.412506       4979871.      0.3030378E-04   1541737.       236150.1    
  121052.8       429.9331       4058.424       6.766957       2.413141       4980666.      0.3027041E-04   1543312.       236332.1    
  121403.6       429.9331       4059.415       6.769439       2.413775       4981459.      0.3023712E-04   1544887.       236514.1    
  121754.5       429.9331       4060.406       6.771920       2.414409       4982253.      0.3020390E-04   1546463.       236696.2    
  122105.4       429.9331       4061.395       6.774399       2.415043       4983046.      0.3017076E-04   1548037.       236878.2    
  122456.3       429.9331       4062.716       6.773999       2.412612       4987845.      0.3016185E-04   1548957.       236478.4    
  122807.1       429.9331       4063.704       6.776475       2.413245       4988639.      0.3012882E-04   1550531.       236660.1    
  123158.0       429.9331       4064.692       6.778948       2.413878       4989432.      0.3009587E-04   1552105.       236841.8    
  123508.9       429.9331       4065.679       6.781420       2.414510       4990225.      0.3006299E-04   1553680.       237023.4    
  123859.8       429.9331       4066.665       6.783891       2.415142       4991016.      0.3003018E-04   1555254.       237205.0    
  124210.6       429.9331       4067.650       6.786359       2.415774       4991807.      0.2999745E-04   1556827.       237386.7    
  124561.5       429.9331       4068.635       6.788826       2.416406       4992598.      0.2996479E-04   1558401.       237568.3    
  124912.4       429.9331       4069.916       6.788735       2.414310       4996953.      0.2995346E-04   1559391.       237231.1    
  125263.3       429.9331       4070.900       6.791198       2.414941       4997744.      0.2992092E-04   1560964.       237412.4    
  125614.1       429.9331       4071.882       6.793660       2.415571       4998536.      0.2988845E-04   1562537.       237593.7    
  125965.0       429.9331       4072.864       6.796120       2.416201       4999326.      0.2985604E-04   1564110.       237775.0    
  126315.9       429.9331       4073.845       6.798578       2.416831       5000115.      0.2982372E-04   1565683.       237956.3    
  126666.8       429.9331       4074.825       6.801034       2.417461       5000904.      0.2979146E-04   1567256.       238137.6    
  127017.6       429.9331       4075.805       6.803489       2.418090       5001692.      0.2975928E-04   1568828.       238318.8    
  127368.5       429.9331       4077.046       6.803704       2.416327       5005606.      0.2974561E-04   1569888.       238043.9    
  127719.4       429.9331       4078.024       6.806155       2.416955       5006394.      0.2971354E-04   1571461.       238224.9    
  128070.3       429.9331       4079.002       6.808605       2.417584       5007182.      0.2968154E-04   1573033.       238405.9    
  128421.1       429.9331       4079.979       6.811053       2.418212       5007968.      0.2964961E-04   1574604.       238586.8    
  128772.0       429.9331       4080.955       6.813499       2.418839       5008757.      0.2961776E-04   1576176.       238767.8    
  129122.9       429.9331       4081.930       6.815944       2.419466       5009542.      0.2958597E-04   1577748.       238948.8    
  129473.8       429.9331       4083.171       6.816131       2.417681       5013482.      0.2957270E-04   1578802.       238668.7    
  129824.6       429.9331       4084.145       6.818572       2.418307       5014268.      0.2954103E-04   1580373.       238849.3    
  130175.5       429.9331       4085.118       6.821012       2.418933       5015056.      0.2950942E-04   1581944.       239030.0    
  130526.4       429.9331       4086.091       6.823449       2.419559       5015841.      0.2947789E-04   1583514.       239210.7    
  130877.3       429.9331       4087.063       6.825886       2.420185       5016626.      0.2944642E-04   1585085.       239391.3    
  131228.1       429.9331       4088.034       6.828320       2.420810       5017408.      0.2941503E-04   1586656.       239572.0    
  131579.0       429.9331       4089.004       6.830753       2.421435       5018195.      0.2938370E-04   1588226.       239752.6    
  131929.9       429.9331       4090.205       6.831240       2.419978       5021697.      0.2936820E-04   1589349.       239534.3    
  132280.8       429.9331       4091.174       6.833670       2.420602       5022479.      0.2933699E-04   1590919.       239714.7    
  132631.6       429.9331       4092.143       6.836098       2.421226       5023262.      0.2930584E-04   1592489.       239895.1    
  132982.5       429.9331       4093.110       6.838524       2.421850       5024048.      0.2927477E-04   1594059.       240075.5    
  133333.4       429.9331       4094.077       6.840948       2.422473       5024831.      0.2924376E-04   1595628.       240255.9    
  133684.3       429.9331       4095.043       6.843371       2.423097       5025613.      0.2921281E-04   1597198.       240436.3    
  134035.1       429.9331       4096.009       6.845792       2.423720       5026396.      0.2918194E-04   1598767.       240616.6    
  134386.0       429.9331       4097.190       6.846392       2.422392       5029717.      0.2916578E-04   1599916.       240422.5    
  134736.9       429.9331       4098.155       6.848810       2.423014       5030503.      0.2913502E-04   1601485.       240602.6    
  135087.8       429.9331       4099.118       6.851227       2.423636       5031284.      0.2910432E-04   1603054.       240782.7    
  135438.6       429.9331       4100.081       6.853641       2.424258       5032062.      0.2907369E-04   1604623.       240962.9    
  135789.5       429.9331       4101.043       6.856054       2.424879       5032843.      0.2904313E-04   1606191.       241143.0    
  136140.4       429.9331       4102.004       6.858466       2.425500       5033624.      0.2901263E-04   1607759.       241323.1    
  136491.3       429.9331       4102.965       6.860876       2.426121       5034403.      0.2898220E-04   1609328.       241503.2    
  136842.1       429.9331       4104.151       6.861420       2.424748       5037797.      0.2896674E-04   1610464.       241299.6    
  137193.0       429.9331       4105.111       6.863826       2.425368       5038577.      0.2893642E-04   1612032.       241479.4    
  137543.9       429.9331       4106.070       6.866231       2.425988       5039357.      0.2890616E-04   1613600.       241659.3    
  137894.8       429.9331       4107.027       6.868635       2.426607       5040132.      0.2887597E-04   1615167.       241839.1    
  138245.6       429.9331       4107.985       6.871036       2.427226       5040912.      0.2884584E-04   1616735.       242018.9    
  138596.5       429.9331       4108.941       6.873437       2.427845       5041690.      0.2881578E-04   1618302.       242198.8    
  138947.4       429.9331       4109.897       6.875835       2.428464       5042468.      0.2878578E-04   1619869.       242378.6    
  139298.3       429.9331       4111.039       6.876675       2.427411       5045417.      0.2876820E-04   1621074.       242235.8    
  139649.1       429.9331       4111.994       6.879070       2.428029       5046191.      0.2873832E-04   1622641.       242415.5    
  140000.0       429.9331       4112.948       6.881464       2.428647       5046970.      0.2870849E-04   1624207.       242595.1    
  1.000000       439.0468       3544.577       7.491881       4.123723       3241055.      0.2858818E-04   1185832.       602758.5    
  351.8747       439.0468       3545.160       7.496144       4.125519       3241542.      0.2855522E-04   1187592.       603382.9    
  702.7494       439.0468       3546.351       7.499531       4.126510       3242095.      0.2851948E-04   1189405.       603875.7    
  1053.624       439.0468       3547.541       7.502910       4.127501       3242649.      0.2848373E-04   1191216.       604368.5    
  1404.499       439.0468       3548.514       7.506597       4.128773       3243180.      0.2844909E-04   1193009.       604907.0    
  1755.373       439.0468       3549.496       7.510261       4.130031       3243712.      0.2841448E-04   1194801.       605443.1    
  2106.248       439.0468       3550.395       7.513925       4.131293       3244169.      0.2838622E-04   1196565.       605966.5    
  2457.123       439.0468       3552.154       7.516462       4.131528       3244784.      0.2834807E-04   1198420.       606335.8    
  2807.997       439.0468       3552.761       7.520633       4.133276       3245271.      0.2831558E-04   1200169.       606952.7    
  3158.872       439.0468       3553.942       7.523977       4.134267       3245821.      0.2828040E-04   1201968.       607445.7    
  3509.747       439.0468       3555.024       7.527368       4.135280       3246280.      0.2825026E-04   1203750.       607928.4    
  3860.622       439.0468       3555.807       7.531196       4.136680       3246677.      0.2822600E-04   1205516.       608473.9    
  4211.496       439.0468       3556.783       7.534813       4.137931       3247205.      0.2819201E-04   1207295.       609009.2    
  4562.371       439.0468       3557.759       7.538423       4.139181       3247733.      0.2815810E-04   1209071.       609544.4    
  4913.246       439.0468       3558.976       7.541678       4.140116       3248285.      0.2812319E-04   1210864.       610028.5    
  5264.120       439.0468       3558.787       7.546566       4.141984       3247589.      0.2818950E-04   1212690.       610546.7    
  5614.995       439.0468       3559.958       7.549871       4.142975       3248135.      0.2815487E-04   1214476.       611039.9    
  5965.870       439.0468       3561.129       7.553171       4.143966       3248680.      0.2812032E-04   1216260.       611533.0    
  6316.744       439.0468       3562.000       7.556893       4.145340       3249195.      0.2808722E-04   1218020.       612088.6    
  6667.619       439.0468       3562.971       7.560465       4.146585       3249719.      0.2805375E-04   1219786.       612623.1    
  7018.494       439.0468       3564.006       7.562702       4.147674       3250171.      0.2802592E-04   1220916.       613123.1    
  7369.368       439.0468       3565.092       7.566093       4.148766       3250706.      0.2799209E-04   1222687.       613632.7    
  7720.243       439.0468       3566.255       7.569366       4.149756       3251249.      0.2795801E-04   1224462.       614126.1    
  8071.118       439.0468       3567.417       7.572635       4.150747       3251791.      0.2792401E-04   1226235.       614619.4    
  8421.992       439.0468       3568.577       7.575898       4.151737       3252332.      0.2789012E-04   1228007.       615112.7    
  8772.867       439.0468       3569.586       7.579366       4.152923       3252856.      0.2785703E-04   1229762.       615638.4    
  9123.742       439.0468       3570.297       7.583265       4.154487       3253352.      0.2782527E-04   1231499.       616224.8    
  9474.617       439.0468       3570.889       7.587323       4.156203       3253835.      0.2779414E-04   1233222.       616836.1    
  9825.491       439.0468       3572.778       7.589513       4.156248       3254449.      0.2775733E-04   1235044.       617176.0    
  10176.37       439.0468       3574.107       7.592498       4.157014       3255005.      0.2772311E-04   1236820.       617633.1    
  10527.24       439.0468       3575.035       7.596057       4.158292       3255521.      0.2769073E-04   1238567.       618173.2    
  10878.12       439.0468       3576.008       7.599538       4.159511       3256040.      0.2765826E-04   1240312.       618704.2    
  11228.99       439.0468       3576.920       7.603104       4.160806       3256553.      0.2762612E-04   1242054.       619247.5    
  11579.86       439.0468       3577.697       7.606855       4.162273       3257052.      0.2759466E-04   1243782.       619818.8    
  11930.74       439.0468       3579.065       7.609756       4.162978       3257611.      0.2756065E-04   1245558.       620265.7    
  12281.61       439.0468       3579.581       7.613865       4.164775       3258082.      0.2753050E-04   1247262.       620891.0    
  12632.49       439.0468       3581.207       7.616384       4.165148       3258666.      0.2749554E-04   1249054.       621284.2    
  12983.36       439.0468       3582.225       7.619763       4.166298       3259188.      0.2746334E-04   1250796.       621804.0    
  13334.24       439.0468       3583.539       7.622714       4.167069       3259739.      0.2742994E-04   1252559.       622262.3    
  13685.11       439.0468       3584.281       7.626476       4.168567       3260232.      0.2739908E-04   1254279.       622838.8    
  14035.99       439.0468       3585.269       7.629880       4.169750       3260750.      0.2736724E-04   1256015.       623364.0    
  14386.86       439.0468       3586.249       7.633293       4.170939       3261267.      0.2733547E-04   1257752.       623890.0    
