exc name,period(hr),B0x(nT),B0y(nT),B0z(nT),Bex_Re(nT),Bex_Im(nT),Bey_Re(nT),Bey_Im(nT),Bez_Re(nT),Bez_Im(nT)
synodic 4th,3.23815240964633,16.1064788402593,-0.112592458285713,-1828.72967393086,1.53532805249869,0.394201834029103,0.318013371428469,-1.22501084295458,-0.0110838930458001,0.0905506932148188
synodic 3rd,4.31753654619511,16.1064788402593,-0.112592458285713,-1828.72967393086,-11.7399627873474,-3.53899816506271,-2.66961115529455,8.67649848006838,0.111165936827386,-0.503436826660258
synodic 2nd,6.47630481929267,16.1064788402593,-0.112592458285713,-1828.72967393086,109.219023245429,-23.2843338416964,-16.4409083980851,-72.7560818057026,6.34752248891734,-10.0053110156408
synodic 2nd-TA beat,7.64705947311514,16.1064788402593,-0.112592458285713,-1828.72967393086,-2.06140641455611,0.208646349934247,0.178541607097105,1.62035603888584,-0.124869337758898,0.180153549955473
synodic+TA beat,9.91666969511644,16.1064788402593,-0.112592458285713,-1828.72967393086,-0.0903910725720493,0.0612949238435964,-1.0898398845267,1.97804860061001,0.378971058943504,-0.198268327463841
synodic,12.9526096385853,16.1064788402593,-0.112592458285713,-1828.72967393086,-288.760142874561,689.548821122613,310.85747573457,116.120757255127,55.2968473862432,86.1754103121847
synodic-TA beat,18.6685428488983,16.1064788402593,-0.112592458285713,-1828.72967393086,7.98542765347486,3.67211271046971,2.64861397339844,-5.98870291553901,1.08319599192641,-0.654617916912804
true anomaly,42.30632,16.1064788402593,-0.112592458285713,-1828.72967393086,0.333147573816643,-0.0442134500176329,0.0325336275494625,0.172488637531251,-23.7548722298798,-0.850086816417855
orbital+year beat,42.4395554835364,16.1064788402593,-0.112592458285713,-1828.72967393086,-1.8285768491433,-1.73330517279516,0.707700641213875,-1.02909876446564,0.0200510323494976,-0.0534137357398823
