exc name,period(hr),B0x(nT),B0y(nT),B0z(nT),Bex_Re(nT),Bex_Im(nT),Bey_Re(nT),Bey_Im(nT),Bez_Re(nT),Bez_Im(nT)
synodic 3rd,3.7443382655783,2.37010700804541,-0.0636478433664308,-408.979303986533,0.602064870315674,1.04888401394119,0.66453634080443,-0.335203919159018,-0.0270696934347837,0.0181637738322516
synodic 2nd,5.61650739836745,2.37010700804541,-0.0636478433664308,-408.979303986533,16.8123049768657,4.72722348570843,2.87659118817666,-11.297146460372,1.1099817405483,1.32608527688679
synodic 2nd-TA beat,6.01571056916453,2.37010700804541,-0.0636478433664308,-408.979303986533,0.21284385885177,0.553646327802397,0.432568577579852,-0.174341884257354,0.0190092435850552,0.0287318022710924
synodic+TA beat,9.91671559121287,2.37010700804541,-0.0636478433664308,-408.979303986533,0.00809921127341895,0.180714877002755,1.36402187266083,0.234168634591029,-0.104484652868517,-0.109949714167715
synodic,11.2330147967349,2.37010700804541,-0.0636478433664308,-408.979303986533,128.427083525961,-170.113782963486,-65.2872553952894,-38.256827540587,-4.80558849851429,-15.1690436099189
synodic-TA beat,12.9517810433968,2.37010700804541,-0.0636478433664308,-408.979303986533,2.86314201902839,1.31560023417283,0.93426827777427,-2.14886218258529,0.237950140691072,-0.133007487023524
TA+year beat,84.5679754487446,2.37010700804541,-0.0636478433664308,-408.979303986533,-0.00892228110357078,-0.0447248669703978,0.0092536300003954,-0.000898823710865439,3.73238488656641,-4.65198465614706
true anomaly,84.63681,2.37010700804541,-0.0636478433664308,-408.979303986533,0.0503327626417283,-0.130964426307047,0.0521259228617813,0.0266365618730666,-5.98483665020196,8.04745473230486
TA-year beat,84.7057566990334,2.37010700804541,-0.0636478433664308,-408.979303986533,0.0148263665284863,-0.0825913147022291,0.0301893957684899,0.00941180360438575,-1.54484293784637,2.24467424192183
orbital,85.2381724241757,2.37010700804541,-0.0636478433664308,-408.979303986533,-4.65239047045697,3.940300340455,-1.2050278381891,-1.68843861232699,-0.773755255669924,-0.172629151265196
orbital-year beat,85.3081027704145,2.37010700804541,-0.0636478433664308,-408.979303986533,-1.47800556420071,1.28906323747937,-0.403148049185495,-0.539179563386939,-0.258509044829995,0.0503321953975073
