period(hr),B0x(nT),B0y(nT),B0z(nT),Bex_Re(nT),Bex_Im(nT),Bey_Re(nT),Bey_Im(nT),Bez_Re(nT),Bez_Im(nT)
1.01770988529121564,0.035081851374909663,0.00756377078686846626,-9.30038074656163793,-4.80762516821973153e-07,2.6805507260995361e-07,-8.5048511787961977e-08,5.41571324673233192e-08,1.62699463940241305e-07,-9.66596917974067269e-08
1.1307887614346841,0.035081851374909663,0.00756377078686846626,-9.30038074656163793,5.01096977281499647e-07,-3.52328686264166737e-07,8.50927900578046375e-08,-3.74804012112978885e-09,-1.74937120837727005e-07,1.26420433979333007e-07
1.2721373566140195,0.035081851374909663,0.00756377078686846626,-9.30038074656163793,-5.20243858127277047e-07,4.51217617202197641e-07,-8.80879054869963261e-08,9.01810005815862073e-08,-6.38795063071842913e-07,-1.89669425985099433e-07
1.45387126470173667,0.035081851374909663,0.00756377078686846626,-9.30038074656163793,4.86869000445550703e-07,-7.29201590972180995e-07,-2.03314712111969741e-07,9.8936540370450205e-06,-1.89166077925500494e-07,2.20319269892426024e-07
1.69618314215202592,0.035081851374909663,0.00756377078686846626,-9.30038074656163793,-5.62814429006615824e-07,7.50159623939078109e-07,3.17568549280062241e-08,1.60846820223591174e-07,-0.000122977150935694931,-3.35500360266751258e-06
2.03541977058243129,0.035081851374909663,0.00756377078686846626,-9.30038074656163793,2.66650354868235691e-05,-2.41874112436242583e-05,-3.18644691778491445e-05,0.00154688677469690464,-3.3019501174155748e-07,1.39916503513439236e-06
2.52821506631798343,0.035081851374909663,0.00756377078686846626,-9.30038074656163793,6.65081133288409482e-07,4.10527177448021495e-07,-1.43724513728113477e-05,-0.00011021906159098288,9.97122856024542942e-05,-0.000566333000505337553
2.544274713228039,0.035081851374909663,0.00756377078686846626,-9.30038074656163793,-3.32922853819873075e-05,-0.000193255475867844565,-0.000148674745443359445,2.65582626189005968e-05,-0.0190309840090356688,-0.000317732892294974657
2.56053969158923289,0.035081851374909663,0.00756377078686846626,-9.30038074656163793,7.30728742966472132e-06,-1.67303208092032694e-06,2.47136118024611724e-05,-0.000188047355480535304,-7.68885735952799158e-05,-0.000538042845434160257
3.36387574569187686,0.035081851374909663,0.00756377078686846626,-9.30038074656163793,0.00036526295608891587,-0.00179904105086317492,-0.0049151386160186071,-0.000852897337083073507,0.000939100338058113191,-0.000126195697678966961
3.39236628430405185,0.035081851374909663,0.00756377078686846626,-9.30038074656163793,-0.00126956929473319262,-0.000978483769497728384,-0.000955560225180192573,0.218776319252047963,-3.12140255132741e-05,0.000130136163236922313
3.42134354977985211,0.035081851374909663,0.00756377078686846626,-9.30038074656163793,-0.000246656954746046916,-0.00141490091886412993,-0.0046147079311665588,0.000747600146038237233,0.00175664871380728691,0.000264108762691432457
5.02471377409320219,0.035081851374909663,0.00756377078686846626,-9.30038074656163793,-0.000715150209958578635,-0.000842728747777653545,-0.00182950712645601381,-0.00333615122975218633,0.00674218819792110971,-0.0399950921088081113
5.088549426456078,0.035081851374909663,0.00756377078686846626,-9.30038074656163793,-0.0964935186293240515,0.265604310084210149,0.176543674810419271,0.0666145964413392133,-2.74709035712541727,-0.0168216006763835038
5.1540279293033251,0.035081851374909663,0.00756377078686846626,-9.30038074656163793,-0.00905565785933874594,-0.00146092329790279102,0.000701228053386680414,-0.00805655671140864324,-0.00611728450027888924,-0.0389709274370433345
9.68493612036119877,0.035081851374909663,0.00756377078686846626,-9.30038074656163793,0.00111346094078470029,0.000228481224015869707,0.000121044545176983664,-0.000452884572900510692,2.9292962402032379e-05,0.000113803678176026182
9.92491981951349622,0.035081851374909663,0.00756377078686846626,-9.30038074656163793,0.0456993781825194845,-0.246911129807418833,-0.314780788762641039,-0.0494341252206807122,0.123462096991613687,-0.0118093479299676615
10.177098852912156,0.035081851374909663,0.00756377078686846626,-9.30038074656163793,-44.6891791730891299,0.887066989943763651,-0.141740437065741937,1.65439051524647152,-0.125751728435232163,0.225284129644860803
10.442427058048608,0.035081851374909663,0.00756377078686846626,-9.30038074656163793,-0.0837616312529348706,-0.424232921600712076,-0.356759592791696334,0.0664968414562839144,0.122375076222894272,0.0147815822255444006
10.7219604055239266,0.035081851374909663,0.00756377078686846626,-9.30038074656163793,0.00560739452500551641,-0.0021777089995370035,-0.00198230847904769941,-0.0046440257897467762,6.89577912793893125e-05,0.00175038292970912672
200.2682156980473,0.035081851374909663,0.00756377078686846626,-9.30038074656163793,-5.95882930108836356e-05,-0.00962244596064960184,0.00817311324544860163,-1.4884191131730033e-05,0.00187778665076451692,0.00148025068924087576
400.536431396094599,0.035081851374909663,0.00756377078686846626,-9.30038074656163793,1.01142628732672546,-0.147457824326344966,0.0202643636240110794,0.0329009287953082943,-0.0338411408736678451,0.21338447167934127
